w	def
រខាក	[rɔkʰaak] <br>1). adj to be shabby, threadbare;<br> run-down, dilapidated, falling apart See: តាករ៉ាក
រខិករខក់	[rɔkʰək - rɔkʰɑk] <br>1). adj to be very loose, very insecurely joined See: រលុក​រខិក​រខក់​
រខិញរខុញ	[rɔkʰəɲ - rɔkʰoɲ] <br>1). adj to be very rugged / rough;<br> to be jagged <br>2). adj to be sneaky, devious
រខិត	[rɔkʰət] <br>1a). v to scratch (slightly);<br> to cause slight damage. <br>1b). n blemish, mark, scratch
រខិន	[rɔkʰən] <br>1). See: ខ្លារខិន
រខឺត	[rɔkʰəət] <br>1). adj to be tall and skinny See: តឺតរខឺត
រខុញ	[rɔkʰoɲ] <br>1). adj to be rugged, rough, uneven;<br> covered with scars
រខូស	[rɔkʰooh] <br>1). i sound made by a turtle crawling, rustling sound See: កខូស
រខេករខាក	<br>1). See: រខាក
រខេករខោក	[rɔkʰeek - rɔkʰaok] <br>1). adj to be dilapidated, ramshackle, nearly worn out
រខែករខោក	[rɔkʰaek - rɔkʰaok] <br>1). adj to be moldering, rotten;<br> dilapidated, decrepit
រខែះ	[rɔkʰaeh] <br>1). See: ក្អករខែះ
រខោក	[rɔkʰaok] <br>1). adj to be dilapidated, ramshackle, fallen into disrepair;<br> sunk low / hanging low <br>2). i rattling sound as of loose boards
រគង	[rɔkɔɔŋ] <br>1). adj to be refined, elegant;<br> miniature, tiny;<br> well-shaped, tapering (as fingers) <br>2). adj to be beautifully interwoven;<br> neatly stacked See: ល្គង
រគាម	[rɔkiem] <br>1). adj to be projecting equally (as the ribs of a thin person)
រគាំង	[rɔkeaŋ, ʔaakeaŋ] <br>1). n kind of small flat gong (used in Buddhist temples to call people together)
រគិបរគុប	[rɔkɨp - rɔkup] <br>1). adj to be rough, bumpy, uneven, with dips and rises (as a road)
រគីងរគោង	[rɔkiiŋ - rɔkouŋ] <br>1). adj to be uneven, warped;<br> rising in some places and dropping in others See: រគេងរគោង
រគីមរគាម	[rɔkiim - rɔkiem] <br>1). adj to be rough;<br> scattered about in disorder (as cut timber);<br> visible through the skin (as the ribs of a thin person)
រគីមរគើម	<br>1). See: រគើម
រគឹង	[rɔkɨŋ] <br>1a). adj to be pimply, pock-marked. <br>1b). n pock mark <br>2). n kind of worm or grub that feeds on tubers See: គ្រឹង, ជ្រឹង
រគុបរគើល	<br>1). See: រគើលរគុប
រគើម	[rɔkəəm] <br>1). adv in a slowly plodding and sidling manner (as a turtle or crab) See: គគើម <br>2). adv all over the body (as the eruption of small pimples);<br> moving as an amorphous mass (as a group of insects crawling)
រគើល	[rɔkəəl] <br>1). adj (of a road or floor) to be rough, rugged, rocky;<br> uneven <br>2). adj (of a chain of bare, rocky mountains) to be looming / rising up (above the surrounding countryside)
រគើលរគុប	[rɔkəəl rɔkup ] [[រគើល]] [[រគុប]] <br>1). រគើល
រគេងរគោង	<br>1). See: រគីងរគោង
រគេន	<br>1). See: ល្គេន
រគោង	[rɔkouŋ] <br>1). adj to be rough, hilly, mountainous;<br> uneven, (extensively) warped;<br> undulating
រគោល	[rɔkoul] <br>1). adj to be bumpy, rough, rising and dipping (of a road)
រឃាំង	[rɔkʰeaŋ] <br>1). adj to be tall and skinny, emaciated Ex នាងនេះស្គមឲ្យរឃាំង ឃើញតែឆ្អឹង . This girl is so skinny she's all bones.
រឃិករឃុក	[rɔkʰɨk - rɔkʰuk] <br>1). i clattering sound made by something loose
រឃិងរឃុង	[rɔkʰɨŋ - rɔkʰuŋ] <br>1). i sound made by pieces of bamboo knocking together
រឃឹករឃុក	<br>1). See: រឃិករឃុក
រឃុករឃាក់	[rɔkʰuk - rɔkʰeak] <br>1). i clattering sound (such as that of a car driving over a very rough road)
រឃុងរឃាំង	[rɔkʰuŋ - rɔkʰeaŋ] <br>1). i sound made by empty cans knocking together
រង	[rɔɔŋ] <br>1a). v to support (from below);<br> to bear, endure, undergo;<br> to protect, defend (oneself), to parry, ward off (a blow);<br> to hide;<br> to assist. <br>1b). adj be a deputy / assistant. <br>1c). n support, prop, stand;<br> bedding, pillow, cushion <br>2). v to inherit, succeed (to);<br> take on (e.g. additional duties) <br>3). adj to be a victim, get into trouble, be involved in an accident <br>4a). adj to clear up, become clear / transparent (as a liquid when the sediment has settled). <br>4b). n sediment, deposit <br>5). n ridge or hill in a field (esp. for planting potatoes);<br> gutter (along the eaves of a house) <br>6). See: រុង
រងកម្ម	[rɔɔŋ kam~kammeaʔ or kammaʔ] [[រង]] [[កម្ម]] <br>1). to suffer, have a miserable life, undergo torment;<br> to suffer consequences
រងកម្មវេទនា	[rɔɔŋ kam~kammeaʔ or kammaʔ veeteaʔnie] [[រង]] [[កម្មវេទនា]] <br>1). to suffer adversity
រងក់	[rɔŋʊək] <br>1). adj to be unsteady on one's feet, tottering, staggering;<br> to be tumble-down, ramshackle
រងក្តីជួសគេ	[rɔɔŋ kdəy cuəh kee] [[រង]] [[ក្តី]] [[ជួស]] [[គេ]] <br>1). See: រងបន្ទុក
រងគ្រោះ	[rɔɔŋ krʊək] [[រង]] [[គ្រោះ]] <br>1). to be a victim, be victimized;<br> to suffer <br>##1). to get into trouble
រងគ្រោះថ្នាក់	[rɔɔŋ krʊək tnak] [[រង]] [[គ្រោះថ្នាក់]] <br>1). to be the victim of an accident
រងឆាយ	[rɔɔŋ cʰaay] [[រង]] [[ឆាយ]] <br>1). piece of wood placed parallel to the purlins at the edge of a roof to support the rows of tiles
រងជើង	[rɔɔŋ cəəŋ] [[រង]] [[ជើង]] <br>1). a piece of weft thread which is too short to complete an entire row and is usually cut off
រងថ្មបាក់	[rɔɔŋ tmɑɑ bak] [[រង]] [[ថ្ម]] [[បាក់]] <br>1). having to bear the responsibility for a bad situation that someone else has gotten one into
រងទឹក	[rɔɔŋ tɨk] [[រង]] [[ទឹក]] <br>1). drainage ditch below a roof to catch rain, eaves trough
រងទឹកភ្នែក	[rɔɔŋ tɨk ------] [[រង]] [[ទឹកភ្នែក]] <br>1). fig to be abused, long-suffering, be in an abusive situation
រងទុក្ខ(វេទនា)	<br>1). to suffer;<br> suffering <br>##1). to suffer;<br> suffering យើង​បានចាំច្បាស់ថា​ នៅពេលដែលបងប្អូនកំពុង រងទុក្ខវេទនាក្រោមនឹមត្រួតត្រានៃពួកខ្មែរ​ក្រហម ...។ We remember well that during the time our brothers and sisters were suffering under the yoke of the Khmer Rouge ....
រងបន្ទុក	[rɔɔŋ bɑntuk] [[រង]] [[បន្ទុក]] <br>1). to take on responsibilities, bear a load <br>##1). to take over the responsibility for something;<br> to be in charge
រងព្រះជង្ឃ	[rɔɔŋ preah ceaŋkʰeaʔ~cʊəŋ] [[រង]] [[ព្រះ]] [[ជង្ឃ]] <br>1). royal kneeler
រងព្រះបាទ	[rɔɔŋ preah baat] [[រង]] [[ព្រះបាទ]] <br>1). cushion for the feet or legs, shoes
រងព្រះសិរ	[rɔɔŋ preah see] [[រង]] [[ព្រះសិរ]] <br>1). pillow, cushion
រងមុខ	[rɔɔŋ muk] [[រង]] [[មុខ]] <br>1). to protect / defend oneself
រងរ៉ាប់	[rɔɔŋ rap] [[រង]] [[រ៉ាប់]] <br>1). to take on (e.g. duties, responsibility);<br> to guarantee, endorse See: រ៉ាប់រង
រងលំបាក	[rɔɔŋ lumbaak] [[រង]] [[លំបាក]] <br>1). to suffer
រងល់	[rɔŋʊəl] <br>1). adj to be plentiful, numerous See: រងោករងល់
រងវេទនា	[rɔɔŋ veeteaʔnie] [[រង]] [[វេទនា]] <br>1). to suffer
រងសំងាច	[rɔɔŋ ------] [[រង]] [[សំងាច]] <br>1). square plate on which the ingredients for preparing betel chews are placed
រងស្បូវ	[rɔɔŋ sbǝv] [[រង]] [[ស្បូវ]] <br>1). beams that support a porch roof
រងអារម្មណ៍	[rɔɔŋ ʔaarɑm] [[រង]] [[អារម្មណ៍]] <br>1). to be the victim of someone's feelings (e.g. to bear the brunt of someone's anger even though that person is not angry with you) <br>##1). to perceive, receive information through perception
រងា	[rɔŋie] <br>1a). adj to be chilly, cold;<br> to feel cold. <br>1b). n cold (of temperature) <br>2). v to feel insecure;<br> to be worried
រងាក់	[rɔŋeak] <br>1a). adj to be bouncy / jouncy (of a gait). <br>1b). v to saunter. <br>1c). adv with the head bouncing / bobbing up and down
រងាក់រងើក	[rɔŋeak rɔŋəək] [[រងាក់]] [[រងើក]] <br>1). in a bumpy manner (as a bumpy ride in a plane or other vehicle), in a bouncing manner (as a vehicle going over potholes);<br> looking everywhere (describes the manner of someone walking around looking for some place without having a clear idea where it is);<br> to be tossed about, shaken up;<br> to get motion-sick (e.g. car-sick, air-sick)
រងាគគ្រន់	[rɔŋie kɔkrʊən] [[រងា]] [[គគ្រន់]] <br>1). trembling / shivering from the cold
រងាញាក់	[rɔŋie ɲeak] [[រងា]] [[ញាក់]] <br>1). to be shivering (esp. from the cold);<br> to shiver, tremble, quiver
រងាទទ្រើក	[rɔŋie tɔtrəək] [[រងា]] [[ទទ្រើក]] <br>1). to be shivering <br>##1). to be shivering from the cold
រងាន់	[rɔŋoan] <br>1). adj to be sickeningly sweet See: ល្ងាន់ <br>2). adj not to want to try any more;<br> to be satiated;<br> to be bored, fed up
រងាន់កំឡាំង	[rɔŋoan ------] [[រងាន់]] [[កំឡាំង]] <br>1). to be tired, fatigued
រងាន់ចិត្ត	[rɔŋoan cət] [[រងាន់]] [[ចិត្ត]] <br>1). to be bored, fed up
រងាប៉ប្រុន	[rɔŋie pɑpron] [[រងា]] [[ប៉ប្រុន]] <br>1). to shiver from the cold
រងាប់	[rɔŋoap] <br>1). adj to weaken, wane, fade, die away;<br> to become calm;<br> to cease / disappear (of symptoms of an illness)
រងារណ្ដំធ្មេញ	[rɔŋie rʊəndɑm tmɨɲ] [[រងា]] [[រណ្ដំ]] [[ធ្មេញ]] <br>1). to chatter from the cold (of the teeth)
រងាល	[rɔŋiel] <br>1). adj to be scarlet, crimson, blood red
រងាវ	[rɔŋiev] <br>1). v to crow (e.g. as a rooster) <br>2). adj to be sparkling, flashing, shining (as the bright blade of a sword)
រងាវកក	[rɔŋiev kɑɑk] [[រងាវ]] [[កក]] <br>1). kind of large king-fisher with bluish wings and a red beak
រងាវតែក្នុងព្រៃ	[rɔŋiev tae knoŋ prey] [[រងាវ]] [[តែ]] [[ក្នុង]] [[ព្រៃ]] <br>1). to dare to speak up only behind someone's back
រងីករងែក	[rɔŋiik - rɔŋɛɛk] <br>1a). adj to be weakened, have lost one's strength;<br> to be soft and limp. <br>1b). adv weakly, feebly
រងីរងើ	[rɔŋii - rɔŋəə] <br>1a). adj to be stupid, foolish, confused, shocked, dumbfounded. <br>1b). adv stupidly, foolishly, in a confused manner See: ល្ងីល្ងើ, រងេរងើ
រងឹត	<br>1). See: ងងឹត
រងុម	<br>1). See: រងុំ
រងុំ	[rɔŋum] <br>1). i purring sound made by a tiger as it feeds See: រងុម
រងុំរងែក	[rɔŋum - rɔŋɛɛk] <br>1). adv violently
រងូ	[rɔŋuu] <br>1). n syrup (made through slow evaporation of sugar palm juice)
រងួយ	[rɔŋuəy] <br>1). adv in huge quantities, in large numbers, slowly and en masse (e.g. as a crowd of people moving somewhere together) មើល ទៅឃើញតែក្បាលរងួយ only a sea of faces was visible
រងើក	[rɔŋəək] <br>1). n ember, live coal
រងើកភ្លើង	[rɔŋəək pləəŋ] [[រងើក]] [[ភ្លើង]] <br>1). រងើក
រងើម	[rɔŋəəm] <br>1). adj to be greasy / oily / shiny (esp. of the face);<br> to be greasy and disgusting <br>2). v to jump about actively (of fish);<br> to show off / act arrogant (of teenagers)
រងៀក	[rɔŋiek] <br>1). adj (of the neck) to be supple, relaxed, limp, drooping
រងៀង	[rɔŋieŋ] <br>1). n kind of tree (Cratoxylon cochinchinensis;<br> the leaves are used as vegetables or for making sour soup)
រងៀម	[rɔŋiem] <br>1). adj to be exhausted, in a stupor, tired and sleepy See: ល្ងៀម
រងៀលៗ	[rɔŋiel - rɔŋiel] <br>1). adj to be restless, thrashing about (as a child thrashing its arms and legs about) Surin
រងេរងើ	<br>1). See: ល្ងេល្ងើ , រងីរងើ, ល្ងីល្ងើ
រងែក	[rɔŋɛɛk] <br>1). adv in disorganized groups (usually refers to groups of children) See: គ្រុន រងែក
រងៃ	[rɔŋey] <br>1). See: ទឹករងៃ
រងោក	[rɔŋouk] <br>1a). adj to be boundless, immense;<br> countless. <br>1b). adv in great numbers
រងោករងល់	[rɔŋook rɔŋɑl] [[រងោក]] [[រងល់]] <br>1). to be massive;<br> numerous;<br> in great quantities
រងំ	[rɔŋum] <br>1). adj to be harmonious, melodious, pleasant
រង៉ាក់រង៉ើក	[rɔŋak - rɔŋaək] <br>1). See: រងាក់រងើក
រង៉ាប់រងួ	[rɔŋap - rɔŋuə] <br>1). adv angrily, fretfully
រង៉ាប់រងើ	[rɔŋap - rɔŋaə] <br>1). v to feel light-headed and dizzy (e.g. as when one is about to faint), feel nauseated
រង៉ិករង៉ក់	[rɔŋək - rɔŋɑk] <br>1). adj to be limp, soft and flabby;<br> tender, delicate
រង៉ឺត	[rɔŋəət] <br>1). i creaking sound
រង៉ូវ	[rɔŋəv] <br>1). adv in a mumbling manner (when talking to oneself)
រង៉េករង៉ាក	[rɔŋeek - rɔŋaak] <br>1). adv noisily all over the place (as babies crying or chickens fighting)
រង៉ែរង៉ូវ	[rɔŋae - rɔŋəv] <br>1). adv in a constantly complaining / scolding manner
រង៉ោម	[rɔŋaom, rɔŋoum] <br>1). adv (of a crowd of people) in a squatting manner <br>2). adv here and there, all over the place (of people sitting)
រង់	[rʊəŋ] <br>1). v to expect, wait (for) <br>2). See: រុង
រង់ចាំ	[rʊəŋ cam] [[រង់]] [[ចាំ]] <br>1). to wait (for / until)
រង់ដឿង	[rʊəŋ dɨəŋ] <br>1). n kind of a very painful disease characterized by swelling of the ends of the fingers or toes (caused by abcesses or boils under a fingernail or toenail) See: ពោះភ្លាញ
រង់អង់	[rʊəŋ ʔɑŋ] [[រង់]] [[អង់]] <br>1). to dilly-dally
រង្កៀក	[rʊəŋkiek] <br>1). v to shake / rock back and forth (in order to pull out or drive deeper), shake loose;<br> to move back and forth repeatedly
រង្កៀកបង្គោល	[rʊəŋkiək bɑŋkool] [[រង្កៀក]] [[បង្គោល]] <br>1). to shake a pole <br>2). kind of music characterized by a strong rhythm
រង្កៀស	[rʊəŋkieh] <br>1). v to doubt, treat with suspicion, distrust;<br> to worry, feel uneasy about something;<br> to regret, repent
រង្កៀសចិត្ត	[rʊəŋkiəh cət] [[រង្កៀស]] [[ចិត្ត]] <br>1). to be upset, hurt;<br> irritated
