ben	bdef
anger	(feeling of great annoyance or antagonism as the result of some real or supposed grievance) <p-l>កំហឹង (គ.ប : សេចក្តីកំហឹង គ.ខ.ប : កំហឹង)</p-l>² (div) <p-l>សេចក្តីខ្ញាល់ (គ.បៈ សេចក្តីខ្ញាល់ គ.ខ.ប : ព្រះពិរោធ)</p-l> angry (adj) <p-l>មានកំហឹង (គ. ប: ក្តៅក្រហាយ គ. ខ. ប: ក្តៅក្រហាយ)។</p-l>
Anglican Church	(a Protestant denomination with historical connection to the Church of England, that declared its independance from the Roman pontiff at the time of the Elizabethan Religious Settlement of 1559) <p-l>និកាយអង់គ្លីខិន។</p-l>
Anglicanism	(the tradition of the Anglican Church) <p-l>សេចក្តីបង្រៀននៃពួកជំនុំអង់គ្លីខិន</p-l>
Anglo-Catholicism	(a movement within Anglicanism which affirms a Roman Catholic, rather than Protestant, heritage and identity of the Anglican Church) <p-l>ចលនា-អង់គ្លីខិនកាតូលិករ៉ូម៉ាំងនិយម។</p-l>
Anglo-Saxon	(Old English: English language from the 5th Century to 1100 AD) <p-l>ភាសាអង់គ្លេសសម័យបុរាណ។</p-l>
aniconic	(adj) (not portrayed in human or animal form) <p-l>គ្មានរូបសត្វតំណាង</p-l>
animal kingdom	(category of living organisms comprising all animals) <p-l>សត្វលោក</p-l>
ankh	(an ancient Egyptian hieroglyphic character that reads "eternal life”) <p-l>និមិត្តរូបដែល តំណាងជីវិតអស់កល្ប។</p-l>
Anna, the prophetess....	<p-l>ហោរាស្រីអាណ</p-l>
annals	(yearly record of events, generally in chronological order) <p-l>កំណត់ត្រាហេតុការណ៍ប្រចាំ ឆ្នាំ</p-l> (royal) <p-l>កំណត់ត្រាប្រវត្តិសាស្ត្រប្រចាំឆ្នាំ។</p-l>
Annas	<p-l>អាណ</p-l>
Anne, Saint	(according to the Protoevangelium of James, written around 150 AD, she is the mother of Mary, and grandmother of Jesus) <p-l>សន្ត អាណ។</p-l>
annihilation	(total destruction) <p-l>បរិសូន្យ</p-l> (informal) <p-l>ការធ្វើឲ្យសាបសូន្យ</p-l>
annihilationism	(a belief that apart from salvation, the final punishment results in total destruction rather than everlasting torment) <p-l>បរិសូន្យនិយម។</p-l>
