ben	bdef
canon	(title of a member of a cathedral chapter, headed by a dean, which is responsible for administering a cathedral) <p-l>កាណុន (អ្នកមានភារកិច្ចយ៉ាងពិសេសជាប់ខ្លួនជាប្រចាំនៅ ក្នុងវិសាលវិហារ)។</p-l>
canonical criticism	(a method of interpreting the Bible that focuses on the text of the biblical canon in its final form) <p-l>ការវិភាគដែលផ្តោតទៅលើសាសនបញ្ញត្តិព្រះគម្ពីរ។</p-l>
canonical Gospels	(the Gospels within the Canon) <p-l>កណ្ឌដំណឹងល្អទាំងបួន</p-l>
canonical prophets	(the prophetic writings within the Canon) <p-l>កណ្ឌពួកហោរានៅក្នុងសាសន បញ្ញត្តិ-ព្រះគម្ពីរ។</p-l>
Canterbury, Province of...	(Anglican Church encompassing thirty of the forty-four dioceses of the Church of England, whose archbishop has precedence of honour over the other Bishops of the Anglican Communion) <p-l>ខេត្តនៃពួកជំនុំយែធើប៊េរី។</p-l>
Canticles, the...	(Song of Solomon) <p-l>បទចំរៀងសាឡូម៉ូន</p-l>
Capernaum, City of...	<p-l>ក្រុងកាពើណិម</p-l>
Caphtorites	(a people descended from Mizraim, son of Ham) <p-l>ពួកកាប់ថោរ៉ឺម</p-l>
capital	(the upper part of a column that supports the frieze or architrave) <p-l>ក្បាច់ក្បាលសសរ</p-l> Cappadocia, country of (a historical region in Central Anatolia, largely in Nevehir Province, in modern Turkey) <p-l>ស្រុកកាប៉ាដូគា។</p-l>
Cappadocian Fathers	[three philosophers (Basil the Great, Gregory of Nyssa, and Gregory of Nanzianzus) who advanced the development of early theology, especially the doctrine of the Trinity] <p-l>ពួកបុព្វបុរសកាប៉ាដូគា។</p-l>
captive	(...of war) <p-l>ឈ្លើយ</p-l> captivity <p-l>ភាពជាឈ្លើយសឹក</p-l>
Captivity Epistles	<p-l>សូមមើល</p-l> Prison Epistles
carcass	(the dead body of an animal) <p-l>សាច់សត្វ (គ.ប : ខ្មោចនៃសត្វ គ.ខ.ប : សាច់សត្វ)</p-l>
Carchemish	(an important ancient capital on the border between modern Turkey and Syria, and the location of a battle between Babylon and Egypt in 605 BC) <p-l>ក្រុង កើកេមីស។</p-l>
Cardinal	(Roman Catholicism: a senior ecclesiastical official, usually an ordained bishop, and prince of "the Church") <p-l>កាឌីណាល់។</p-l>
cardinal number	(a number denoting quantity but not order in a group) <p-l>លេខដែលតំណាងនូវ ចំនួន។</p-l>
Carey, William	[English Baptist missionary known as "the father of modern missions" was a missionary in Serampore, India who translated the Bible into Bengali, Sanskrit and numerous other languages and dialects (1761-1834)] <p-l>វីល្លីយ៉ាំ ការី។</p-l>
Carlsberg Papyri	(ancient Egyptian medical papyrus written in hieratic and demotic, currently residing at the University of Copenhagen, Denmark) <p-l>ប៉ាពីរើស កាល ស្បែក។</p-l>
Carmel, Mt.	(a range of hills extending from the Mediterranean Sea to the plain of Doran, and more specifically, the main ridge at the NW end) <p-l>ភ្នំកើមែល។</p-l>
carnal	(adj) (relating to the passions of the flesh) <p-l>នៃសាច់ឈាម</p-l>
Carthage, City of...	<p-l>ក្រុងកាថ</p-l> Carthaginian <p-l>សាសន៍កាថ</p-l> (adj) <p-l>នៃទីក្រុងកាថ នៃសាសន៍កាថ</p-l>
Carthage tarrif	[stelae (upright stone slab) found in the port of Marseille, originally from the temple of Baal-Saphon in Carthage, detailing payments to the priests for performing sacrifices] <p-l>ពន្ធអាករពីសសរស្តម្ភក្រុងកាថ។</p-l>
case	(evidence offered in a court of law to support a claim) <p-l>បណ្ដឹងក្តី</p-l>
case law	(law established by following judicial decisions given in earlier cases) <p-l>ច្បាប់យុត្តិ សាស្ត្រ</p-l> (informal) <p-l>ច្បាប់ដែលចេញមកពីការបកស្រាយមតិរបស់ចៅក្រមនៅក្នុងបណ្តឹងផ្សេងៗពី មុន។</p-l>
Casluhites	(a people descended from Mizraim, son of Ham) <p-l>ពួកកាសលូហ៊ីម</p-l>
cast lots, to...	(vb) (to draw or choose) <p-l>ចាប់ឆ្នោត</p-l>
casuistic law	(law resulting from the resolution of particular moral dilemmas by careful distinction of the cases as to which general moral principals apply) <p-l>ច្បាប់ដែល ដោះស្រាយបញ្ហាដោយគោលការណ៍សីលធម៌។</p-l>
casuistry	(the resolution of particular moral dilemmas by careful distinction of the cases to which general moral principles apply) <p-l>ការដោះស្រាយបញ្ហាដោយគោលការណ៍សីល ធម៌</p-l> casuistic (adj) <p-l>ដែលដោះស្រាយបញ្ហាដោយគោលការណ៍សីលធម៌។</p-l>
catechesis	(method of oral religious instruction involving questions and answers) การ <p-l>បង្រៀន-ពីគោលជំនឿសំខាន់ៗតាមរបៀបសំណួរចម្លើយ។</p-l>
catechism	(a summary of the principles of Christian faith in the form of questions and answers, used for instruction in the faith) <p-l>សៀវភៅស្តីពីគោលជំនឿសំខាន់ៗតាមរបៀប សំណួរ-ចម្លើយ។</p-l>
cathedral	(the principal church of a diocese) <p-l>វិសាលវិហារ</p-l>
Catholic/Catholick	(adj) (relating to the entire body of Christians, especially before the schism into the *Eastern and Western Churches*) <p-l>នៃពួកអ្នកជឿទាំងមូល។</p-l>
Catholic Church	(reference to the entire body of Christians) <p-l>ពួកជំនុំទាំងមូល</p-l>
Catholic Epistles	(the five NT epistles addressed to the universal church) <p-l>កណ្ឌសំបុត្រចំពោះ ពួកជំនុំ។</p-l>
causation	(the relationship of cause and effect) <p-l>ទំនាក់ទំនងរវាងហេតុ និងផល</p-l>
causative	(adj) (grammar: relating to a form or class of verbs that express the relationship between cause and effect) <p-l>ដែលបង្ហាញពីបុព្វហេតុ។</p-l>
cause	(a person, thing, event, state or action that produces an effect) <p-l>ហេតុ</p-l> (div) <p-l>ព្រះបុព្វ ហេតុ។</p-l>
cause and effect	(reference to the philosophical concept of causality, in which an action or event will produce a certain response) <p-l>ហេតុផល។</p-l>
cedar	(a particular type of wood of very fine quality used in construction of important buildings) <p-l>ឈើតាក្រៅ (គ.ប : ឈើតាក្រៅ គ.ខ.ប : ឈើដ៏មានតម្លៃ) ។</p-l>
celebrate	(vb) (to have a special festival to mark a special event) <p-l>ប្រារព្ធពិធីបុណ្យ</p-l>
celebrate	(vb) (to rejoice) <p-l>អបអរសាទរ</p-l>
celestial	(adj) (heavenly, divine, spiritual) <p-l>នៃស្ថានសួគ៌ ខាងឯវិញ្ញាណ</p-l>
celestial city, the...	<p-l>ទីក្រុងនៅស្ថានសួគ៌</p-l>
celibacy	(abstinence from sexual intercourse) <p-l>ភាពនៅលីវ</p-l> celibate (adj) <p-l>នៅលីវ</p-l> (informal) <p-l>ដែលមិនដែលបានរួមភេទ។</p-l>
censer	(a container for burning incense) <p-l>ចានដុតគ្រឿងក្រអូប (គ.បៈ: កូនចាន ជើងក្រាន ពាន) (គ.ខ.បៈ : ពែង ចង្ក្រាន ពានសំរាប់ដុតគ្រឿងក្រអូប)]។</p-l>
censure	(n) (severe disapproval, harsh criticism) <p-l>ការរិះគន់យ៉ាងខ្លាំង</p-l>
census	<p-l>ជំរឿនប្រជាជន [(គ.បៈ : រាប់ចំនួន ធ្វើបញ្ជីកត់ត្រារាស្ត្រ) គ.ខ.បៈ : ជំរឿនប្រជាជន]</p-l>
cent.	(abbreviation “century”) <p-l>ស.វ</p-l>
centurion	(a commanding officer in the Roman army) <p-l>មេទ័ព១០០នាក់</p-l> (short) <p-l>មេទ័ព</p-l>
cereal offering	<p-l>ដង្វាយម្សៅ</p-l>
ceremonial law	(laws governing ritual observances) <p-l>ក្រឹត្យវិន័យបូជា</p-l>
Cerinthus	(a gnostic who denied that the Supreme God had made the physical world and denied Jesus' divinity) <p-l>ស៊េរិនធូស។</p-l>
cessationism	(the view that the miraculous gifts of the Holy Spirit ceased being practiced early in Christian Church history) <p-l>ទស្សនៈអំណោយទានខាងការអស្ចារ្យបានឈប់ ហើយ។</p-l>
cf.	[abbreviation: *confer* (Latin)] <p-l>ប្រៀបធៀប</p-l>
ch.	(abbreviation “chapter”) <p-l>ដ. (ជំពូក)</p-l>
Ch.	(abbreviation "Book of Chronicles") <p-l>របា</p-l>.
chains	(flexible lengths of metal links, used for confining, typically slaves) <p-l>ច្រវាក់</p-l>
Chalcedon, Council of...	(the last general Church council, held in 451 AD, at Chalcedon in Asia Minor, marked a turning point in the Christological debates to the separation of the church of the Western Roman Empire in the 5th Century) <p-l>មហា សន្និបាត-កាលសេដូន។</p-l>
Chalcolithic Age	(period 5000 to 3300 BC when metallurgists did not yet know to add tin to copper to form bronze, also known as the Copper Age) <p-l>យុគស្ពាន់។</p-l>
Chaldea	(area of southern Babylonia) <p-l>ស្រុកខាល់ដេ</p-l> Chaldees (people of Chaldea) <p-l>សាសន៍ ខាល់ដេ</p-l> Chaldean <p-l>ភាសាខាល់ដេ</p-l> (language) <p-l>សាសនាខាល់ដេ</p-l> (religion) <p-l>ពួកខាល់ដេ</p-l> (people)។
challenge	(vb) (to invite or summon to do something) <p-l>ជំរុញចិត្ត អញ្ជើញឲ្យធ្វើ</p-l> (n) (presents
a ...)	<p-l>បញ្ហា</p-l> (... to their authority) <p-l>បញ្ចេញយោបល់ប្រឆាំង។</p-l>
chance	(the unknown and unpredictable element that causes an event to result in a certain way or another) <p-l>សំណាង។</p-l>
changelessness	(an attribute of God describing His continuing over time without change) <p-l>ភាពមិនប្រែប្រួល។</p-l>
channel	(a means or agency of access) <p-l>បណ្តាញ</p-l>
chaos	(complete disorder, utter confusion) <p-l>កលិយុគ</p-l>
chapel	(a place of Christian worship within a larger building, especially a place set apart) <p-l>កន្លែងថ្វាយបង្គំ។</p-l>
character	(moral force, integrity) <p-l>ចរិតលក្ខណៈ</p-l>
charge	(vb) (to accuse a fault in a court of law) <p-l>ចោទប្រកាន់</p-l>
chariot	(a wheeled horse drawn vehicle used in war) <p-l>រទេះចម្បាំង</p-l>
charis	(Greek “grace”) <p-l>ព្រះគុណ (ភាសាក្រេក)</p-l>
charism/charisma	(a divinely bestowed power or talent, generally prophetic) (relating to power) <p-l>អំណាចដែលបានទទួលពីព្រះជាម្ចាស់ដោយទំនាយ</p-l> (relating to talent) <p-l>ទេពកោសល្យ ដែលបានទទួលពីព្រះជាម្ចាស់។</p-l>
charismata	(Greek "spiritual gifts") <p-l>អំណោយទានខាងវិញ្ញាណ (ភាសាក្រេក)</p-l>
charismatic	(adj) (divinely bestowed with a spiritual gift or talent) <p-l>ដែលបានទទួលទេព កោសល្យពីព្រះជាម្ចាស់។</p-l>
charity	(as a practice: assistance given to those in need) <p-l>កិច្ចការសប្បុរសធម៌</p-l>
charity	(as a virtue: concept of unlimited love and kindness) <p-l>សេចក្តីស្រឡាញ់</p-l>
charm	(a magic spell, love potion, enchantment) <p-l>ស្នេហ៍</p-l> charmer <p-l>អ្នកដាក់ស្នេហ៍</p-l>
charm	(a small object worn or kept for supposed magical powers of protection) <p-l>វត្ថុស័ក្តិ សិទ្ធិ។</p-l>
chasten/chastise	(vb) (to discipline or correct by punishment) <p-l>ធ្វើទណ្ឌកម្មដើម្បីឲ្យកែខ្លួនបាន ល្អ។</p-l>
chastity	(the state of being pure through abstaining from sexual intercourse outside of marriage) <p-l>ព្រហ្មចរិយភាព។</p-l>
chattel	(item of moveable personal property) <p-l>សង្ហារិមទ្រព្យ</p-l> (informal) <p-l>កម្មសិទ្ធិ</p-l>
Chedorlaomer, King...	(ruler of Elan-Gen. 14) <p-l>ស្ដេចកេដូឡាមើរ</p-l>
cheek	(that part of either side of the human face below the eyes) <p-l>កំភ្លៀង</p-l>
cherubim	(a member of the second order of angels) <p-l>ចេរូប៊ុន</p-l>
chesed	(Hebrew "something done for someone else who is inferior, on the basis of a close personal relationship") <p-l>មេត្តាករុណា (ភាសាហេព្រើរ)។</p-l>
Chester Beatty Papyri	(a group of early papyrus manuscripts of biblical texts in Greek and of Christian origin, now housed in the Chester Beatty Library in Dublin, Ireland) <p-l>ប៉ាពីរើស ឈើស្ទើរ បឺតធី។</p-l>
