ថបនីយវត្ថុ,"<br>1). See: ឋបនីយវត្ថុ."
ការអម្បោះ,"[kaa ------] [[ការ]] [[អម្បោះ]] <br>1). to spin cotton."
ពាក្យរោយរាយ,"[piek rooy riey] [[ពាក្យ]] [[រោយរាយ]] <br>1). frivolous words (words that cannot be considered as important or true)."
អន្តរត្ថវាចក,"[ʔɑntaʔrattʰaʔviecaʔkaʔ] <br>1). n grammatical term expressing the relationship 'between
បរិត្ត,"[paʔrət] <br>1). n protective prayer or incantation. Pali paritta 'protection
ពិរុណសាស្ត្រ,"[piʔruʔnaʔsaah] <br>1). n study of rain;<br> treatise on rain
វិចយហេតុ,"[viʔcayyeaʔhaet] <br>1). n cause that is found through study or analysis. See: វិចយការណ៍ Sanskrit
ប្រពន្ធដើម,"[prɑpʊən daəm] [[ប្រពន្ធ]] [[ដើម]] <br>1). first wife."
ទាយជ្ជទាន,"[tieyacceaʔtien] <br>1). n endowment. Pali dāyajja 'dowry
វិភាគ,"[viʔpʰiek] <br>1). n analysis;<br> distribution
ចែងម៉ែង,"[caeŋ maeŋ] <br>1). n name of a kind of reed used to make mats. <br>2). p twisted
កម្រង,"<br>1). See: កំរង."
សារពាង្គ,"<br>1). See: សព៌ាង្គ."
ឱវាទ,"[ʔaovaat] <br>1). n advice
ប្រទាលពស់,"[prɑtiel pʊəh] [[ប្រទាល]] [[ពស់]] <br>1). kind of plant used as a cure for snakebite. Tandart"
មិត្រសម្ពន្ធជាតិ,"[------ sɑmpʊən ciet] [[មិត្រ]] [[សម្ពន្ធជាតិ]] <br>1). friends of two different races."
ប្រកែកដាច់អហង្ការ,"[prɑkaek dac ʔaʔhaŋkaa] [[ប្រកែក]] [[ដាច់]] [[អហង្ការ]] <br>1). to argue violently against;<br> to argue firmly."
ញៀច,"[ɲiəc] <br>1). p to pinch
ក្អួត,"[kʔuət] <br>1). p to vomit."
មហីលតា,"[meaʔhiileaʔdaa] <br>1). n earthworm. Sanskrit
ខ្ទីងក្របី,"[ktiiŋ krɑbəy] [[ខ្ទីង]] [[ក្របី]] <br>1). a large variety of wild buffalo. Tandart"
ស្រមណុទ្ទេស,"<br>1). See: សមណុទ្ទេស."
សិលាបរមបុរាណ,"[seʔlaabɑɑrumboʔraan] <br>1). n paleolithic age."
វិភេទ,"[viʔpʰeet] <br>1). n alteration of the physical characteristics of something. <br>2). n distinction. Sanskrit vibheda 'splitting;<br> alteration.'"
នាយទាហានសម្ពន្ធ,"[niey tiehien sɑmpʊən] [[នាយទាហាន]] [[សម្ពន្ធ]] <br>1). liaison officer."
មេដៃ,"[mee day] [[មេ]] [[ដៃ]] <br>1). thumb."
កញ្ឆត,"[kɑɲcʰɑɑt] <br>1). p receding (of a hairline);<br> abnormal. undefinedundefined"
ស្តួចស្តើង,"[sduǝc sdaǝŋ] [[ស្ដួច]] [[ស្ដើង]] <br>1). too little
ទីឃរត្ត,"[tiikʰeaʔ roattaʔ] [[ទីឃ]] [[រត្ត]] <br>1). long night."
តាមវិបាក,"[taam viʔpaakaʔ~viʔbaak] [[តាម]] [[វិបាក]] <br>1). to accept the consequences."
បម្រាស់,"[bɑmrah] <br>1). p to serve;<br> to do what one is told. See: ប្រើប្រាស់. See: បម្រើបម្រាស់"
អ្នកស្រីទូរសព្ទ,"[neak srǝy tuureaʔsap] [[អ្នកស្រី]] [[ទូរសព្ទ]] <br>1). (female) telephone operator."
កលោបាយ,"[kaʔlaobaay] <br>1). n craft
ក្រអេក,"[krɑʔeɛk] <br>1). n dirt or sweat of the genital area."
ទុក្ខរីងរៃ,"[tuk riiŋ-rey] <br>1). p suffering terribly
អាមេណ្ឌិតលេខ,"[ʔaameendiʔtaʔ~ʔaameendit leek] [[អាមេណ្ឌិត]] [[លេខ]] <br>1). doubling symbol (ៗ). See: អាមេណ្ញិតសពា
សំដីច្រើន,"[sɑmdəy craən] [[សំដី]] [[ច្រើន]] <br>1). talkative
សេដា,"[seɛdaa] <br>1). n eggfruit (Pouteria species)."
ទេវាយតនៈ,"<br>1). dwelling for angels.<br>#..). n residence of the gods. Sanskrit
ស្ត្រីកាម,"[strǝy kaam] [[ស្ត្រី]] [[កាម]] <br>1). one who is strongly attracted to women."
វេះខម,"[veh kʰɑɑm] [[វេះ]] [[ខម]] <br>1). to hide out and spy upon."
ច្បិចច្បើម,"[cbəc cbaəm] <br>1). a hesitantly
ឈ្លើងដំរី,"[cləəŋ dɑmrəy] [[ឈ្លើង]] [[ដំរី]] <br>1). large species of leech."
អត្តាពិគ្រោះ,"<br>1). See: អត្តពិគ្រោះ."
មួយភ្លែត,"[muə yɔɔ plɛɛt] [[មួយ]] [[ភ្លែត]] <br>1). one moment
ស្រែន្យធិបតី,"[sraen ------] [[ស្រែន្យ]] [[ធិបតី]] <br>1). high-ranking or supervisory official."
វនភោជន៍,"[veaʔneaʔ~voan ------] [[វន]] [[Aភោជន៍]] <br>1). picnic."
គោក្រមុំ,"[koo krɑmum] [[គោ]] [[ក្រមុំ]] <br>1). heifer."
ប្រូស,"[prooh] <br>1). i the sound of a tree falling
ខ្ញិកខ្ញុក,"[kɲək-kɲok] <br>1). p crumpled
កន្ថោក,"[kɑntʰaok] <br>1). p to pound or crush in order to extract the juice. Tandart"
លាកលា,"[liek lie] [[លាក]] [[លា]] <br>1). to say goodbye (when leaving)
ភគវន្តមុនី,"[pʰeaʔkeaʔvoantaʔmuʔnii] <br>1). n great wise man
អត្តទត្ថ,"[ʔattaʔtoattʰaʔ] <br>1). n self-interest. Pali atta-dattha"
ជាតវេទ,"[cietaʔveet] <br>1). n fire. Pali jātaveda"
ញៀន,"[ɲiən] <br>1). p to be addicted to something."
គោត្តនាម,"[koottaʔniem] <br>1). n clan name
អាជ្ញាបើកស្ម័គ្រ,"[ʔaacɲaa baək smak] [[អាជ្ញា]] [[បើក]] [[ស្ម័គ្រ]] <br>1). person appointed by the king to register the names of army volunteers in all the provinces"
អធិការកិច្ច,"[ʔaʔtʰiʔkaakǝc] <br>1). n inspection. Pali adhikāra;<br> kicca"
សំរន់,"<br>1). See: សម្រន់."
ចម្លក,"<br>1). See: ចំឡក."
ធ្មេញស្រោបមាស,"[tmɨɲ sraop mieh] [[ធ្មេញ]] [[ស្រោបមាស]] <br>1). gold-plated tooth."
កញ្ឆល,"[kɑɲcʰɑɑl ~ kaɲcʰɑɑl] <br>1). p to jump
អផ្ទាញ,"[ʔaptieɲ] <br>1). n skin rash of the lips [according to Tandart this is a venereal disease]."
វិវេការម្មណ៍,"[viʔveik ʔaarɑm] [[Iវិវេក]] [[I]] [[អារម្មណ៍]] <br>1). peaceful mind
វិលមកវិញ,"[vɨl mɔɔk vɨɲ] [[វិល]] [[មកវិញ]] <br>1). to come back."
ទោង,"[tooŋ] <br>1). n swing. <br>2). n derrick
រណោង,"[rɔnaoŋ] <br>1a). p drooping. <br>1b). a in a drooping manner."
អាយុវេទ,"[ʔaayuʔ veeteaʔ~veet] [[អាយុ]] [[វេទ]] <br>1). science of health
វិវាទកម្ម,"[viʔviet kam~kammeaʔ or kammaʔ] [[វិវាទ]] [[កម្ម]] <br>1). contestation."
វិភាព,"[viʔpʰiep] <br>1). n lovableness
ទោច,"[tooc] <br>1). n gibbon."
ភ្លៀងស្រំ,"[pliəŋ sram] [[ភ្លៀង]] [[ស្រំ]] <br>1). heavy rain."
អង្គុយយះជើង,"[ʔɑŋkuy yeah cəəŋ] [[អង្គុយ]] [[យះជើង]] <br>1). to sit with the legs spread apart"
ស៊ីផឹក,"[sii pʰək~pʰɑk] [[ស៊ី]] [[ផឹក]] <br>1). to eat and drink
ខ្មុក,"[kmok] <br>1a). n lacquer mixed with burned banana leaves or [burned] rags. <br>1b). p to be painted with ខ្មុក. <br>2). p crushed
នំចាហួយ,"[num caa huəy] [[នំ]] [[ចាហួយ]] <br>1). gelatin cake."
ចម្លង,"<br>1). See: ចំឡង."
សទ្ធា,"[sattʰie] <br>1). n faith;<br> generosity. Pali saddhā"
សើចរឹងដំបារពោះ,"[saǝc rɨŋ dɑmbaa pʊəh] [[សើច]] [[រឹង]] [[ដំបារពោះ]] <br>1). to laugh so hard that the belly stiffens up."
ខាងជើង,"[kʰaaŋ cəəŋ] [[ខាង]] [[ជើង]] <br>1). north."
រាក,"[riek] <br>1). p to flow so fast as to be impossible to stop."
រដូវភ្លៀង,"[rɔdəv pliəŋ] [[រដូវ]] [[ភ្លៀង]] <br>1). rainy season<br>#..). rainy season."
យ៉ើ,"[yaə] <br>1). i exclamation of anger."
សែងព្រះអាទិត្យ,"[saeŋ preahʔaatit] <br>1). n kind of plant with red-centered leaves (Amomum zerumbet). See: សែងអាទិត្យ
ក្រអាញ,"[krɑʔaaɲ] <br>1). p chubby
មគ្គនកម្ម,"[meakkeaʔneaʔkam] <br>1). n selection;<br> choosing
ឈឺអូចៗ,"<br>1). slightly painful and persistent."
អាចម៍បន្ទោះ,"[ʔac bɑntʊəh] [[អាចម៍]] [[បន្ទោះ]] <br>1). long excess slivers of bamboo or rattan."
ហត្ថិគោបកៈ,"[hattʰeʔkoopaʔkaʔ] <br>1). n a mahout
រុក្ខមូលិក,"[rukkʰaʔ ------] [[រុក្ខ]] [[Qមូលិក]] <br>1). person who observes a sort of religious rule that does not allow him to live inside a shelter or house
រាគ,"[riek] <br>1). n sexual desire
របស់រយ,"[rɔbɑh rɔɔy] [[របស់]] [[រយ]] <br>1). ordinary
មុខស្អុយ,"[muk sʔoy] [[មុខ]] [[ស្អុយ]] <br>1). face showing dissatisfaction."
បះស្ទើត,"[bah stǝǝt] [[បះ]] [[ស្ទើត]] <br>1). to stand up erectly."
ពោតស,"[poot sɑɑ] [[ពោត]] [[ស]] <br>1). white corn."
រាង,"[rieŋ] <br>1a). p to stop or quit doing something due to a previous unhappy experience;<br> to lose desire (to do something). <br>1b). a against one's desire. <br>2). n shape
ទោណ,"[toon] <br>1). n unit of weight or volume ( = 16 pounds). Pali doṇa"
រាច,"[riec] <br>1). p distributed equally or evenly. ទឹករាចពេញស្រែ។ The water is distributed equally over the field."
រដ្ឋបម្រើ,"[roat~roattʰaʔ bɑmraə] [[រដ្ឋ]] [[បម្រើ]] <br>1). civil servant
ភ្លឺពណ្ណរាយ,"[plɨɨ poannaʔriey] [[ភ្លឺ]] [[ពណ្ណរាយ]] <br>1). magnificently bright."
បីតិ,"[pəyteʔ] <br>1). n ecstasy
ខ្វល់,"[kvɑl] <br>1). p to be occupied
រថឈូសដី,"[rʊət cʰuuh dəy] [[រថ]] [[ឈូស]] [[ដី]] <br>1). bulldozer."
អន្ទាក់រូត,"[ʔɑnteak ruut] [[អន្ទាក់]] [[រូត]] <br>1). trap utilizing a slipknot."
រាជ,"[riec] <br>1a). p royal. <br>1b). n royalty;<br> reign;<br> king. <br>2). n large freshwater fish
បទមជ្ឈិម,"[bɑt maccʰɨm] [[បទ]] [[មជ្ឈិម]] <br>1). misdemeanor
នឹមរទេះ,"[nɨm rɔteh] [[នឹម]] [[រទេះ]] <br>1). yoke of a cart."
ព្រហារណ្យ,"[preaʔhieran] <br>1). n large forest."
ពោះបាក់សន្ធៃ,"[pʊəh bak sɑntʰey] [[ពោះ]] [[បាក់]] [[សន្ធៃ]] <br>1). sunken belly."
សច្ចាវីករណ៍,"[saccaaviikɑɑ] <br>1). n confession. Pali sacca ?"
វាលល្ហ,"[viel lhɑɑ] [[វាល]] [[ល្ហ]] <br>1). open plain."
ពាក្យនិយាយវាង,"[piek niʔyiey vieŋ] [[ពាក្យ]] [[និយាយ]] [[វាង]] <br>1). circumlocution."
ល្ហេវ,"[lheɛv] <br>1). p very tall. <br>2). p empty
ធ្វើសហការ,"[tvəə saʔhaʔ kaa] [[ធ្វើ]] [[សហការ]] <br>1). to collaborate."
គ្រាប់ស្វាយ,"[kroap svaa yɔɔ] [[គ្រាប់]] [[ស្វាយ]] <br>1). the nut or seed of a mango."
ត្រសក់ផ្អរ,"[trɑsɑk pʔɑɑ] [[ត្រសក់]] [[ផ្អរ]] <br>1). small cucumber."
រហោការណ៍,"<br>1). See: រហស្សការណ៍"
ប្រសូតិគ្រឹះ,"[prɑsooteʔkrɨh] <br>1). n maternity center. Sanskrit prasūtigṛiha"
ទោម,"[toom] <br>1). n kind of long-legged multicolored bird. <br>2). n span (unit of length from the end of the thumb to the end of the index finger of a spread hand)."
ពហូសក្តិ,"[peaʔhuusak] <br>1). p high ranking
ដើរជឿន,"[daə cɨən] [[ដើរ]] [[ជឿន]] <br>1). to walk forward
វេទនាប្រាប្ត,"[veeteaʔnie praap] [[វេទនា]] [[ប្រាប្ត]] <br>1). miserable person."
គុំគួន,"[kum ------] [[គុំ]] [[Aគួន]] <br>1). គុំ"
ចោរលូកថង់,"[cao luuk tʰɑŋ] [[ចោរ]] [[លូក]] [[ថង់]] <br>1). pickpocket."
ប៉ះមុខគ្នា,"[pah muk knie] [[ប៉ះ]] [[មុខ]] [[គ្នា]] <br>1). to confront one another."
អន្ទុ,"[ʔɑntuʔ] <br>1). n ankle;<br> chain
ទោរ,"[too] <br>1). p inclined (forward or backward)
យ៉ៃ,"[yay] <br>1). n balance wheel of a watch. <br>2). i a shout
កន្ថោរ,"[kɑntʰao] <br>1). n spittoon;<br> chamber pot."
អកម្មធាតុ,"[ʔaʔkammaʔtʰiet] <br>1). n intransitive verb root. See: សកម្មធាតុ See: អកម្មកិរិយា Pali akamma;<br> dhātu 'element.'"
ស្រីឆ្នាស់,"[srǝy ------] [[ស្រី]] [[ឆ្នាស់]] <br>1). shrew
លាត់សំបក,"[loat sɑmbɑɑk] [[លាត់]] [[សំបក]] <br>1). to peel the bark off."
ទោល,"[tool] <br>1). n height;<br> length. <br>2). p isolated
ចាំងថ្ងៃ,"[caŋ tŋay] [[ចាំង]] [[ថ្ងៃ]] <br>1). to be blinded by the sun."
ស្រូវកណ្ដាល,"[srǝv kɑndaal] [[ស្រូវ]] [[កណ្ដាល]] <br>1). ordinary rice. Tandart
រកទ្រព្យ,"[rɔɔk troap] [[រក]] [[ទ្រព្យ]] <br>1). to pursue wealth
រាន,"[rien] <br>1). n stand
កែម​,"[kaem] <br>1). p to correct
មេប្រយោគ,"[mee prɑyook] <br>1). n member of a jury<br>#..). examiner
រាប,"[riep] <br>1). p smooth
ភោគភ័ស្តុ,"[pʰookeaʔpʰoah] <br>1). n property
កញ្ឆា,"[kɑɲcʰaa] <br>1). n a narcotic plant
កត់ភិន,"[kɑt pʰɨn] [[កត់]] [[ភិន]] <br>1). to establish the identity (of someone or something)
ស្ដុកស្ដុរ,"[sdok-sdoo] <br>1). n kind of large tree with thick bark used in medicines and with small round fruit that grow in clusters. The fruit may be cooked and eaten. See: ស្តុកស្តោរ"
ទោស,"[tooh] <br>1). n fault
គុមគង្គួន,"[------ kʊəŋkuən] [[គុម]] [[គង្គួន]] <br>1). គង្គួន"
សិប្បិសត្វ,"[seppeʔsat] <br>1). n lamellibranch (bivalve molluscs). See: សិប្បីជាតិ"
លះបង់,"[leah bɑŋ] <br>1). p to abandon
ខ្មុល,"[kmol] <br>1). n a kind of flying insect;<br> a mole cricket."
ពុកចង្កាស្មុយ,"[puk cɑŋkaa smoy] [[ពុកចង្កា]] [[ស្មុយ]] <br>1). sloppy beard."
ហូរច្រោះ,"[hoo crɑh] [[ហូរ]] [[ច្រោះ]] <br>1). to erode (by flowing liquid)."
រាម,"[riem] <br>1). n thick bushy jungle that grows along a stream. <br>2). n Rama
រាជវ័តិ,"[rieceaʔvoat] <br>1). n bamboo or wooden fence around a religious ceremonial area (it is used to stop people from going close to the area). Pali rāja;<br> vati 'fence.'"
ចាំងស្មៅ,"[caŋ smav] [[ចាំង]] [[ស្មៅ]] <br>1). to cut grass with a hoe."
ក្បំ,"[kbɑm] <br>1). p round and full (of flowers
រាយ,"[riey] <br>1). p to scatter;<br> to spread
កូនស្រីបងបង្អស់,"[koon srǝy bɑɑŋ bɑŋʔɑh] [[កូនស្រី]] [[បងបង្អស់]] <br>1). eldest daughter."
ម្ដាយធំជីដូនមួយ,"[mdaay tʰom cii doon muə yɔɔ] [[ម្ដាយធំ]] [[ជីដូនមួយ]] <br>1). (consanguineous or affinal) female first cousin
ប្រឡៅពពៃ,"<br>1). See: ប្រឡៅអំពែ."
រាល,"[riel] <br>1). p to propagate
ព្រះស្រីសួង,"[preah srǝy suǝŋ] [[ព្រះស្រី]] [[សួង]] <br>1). chewing tobacco (royal)
រាវ,"[riev] <br>1). p to search with the hands;<br> to search by observing closely. <br>2). p watery
ជលជាត,"<br>1). See: ជលជៈ."
ស្រាទំពាំងបាយជូរ,"[sraa tumpeaŋ baay cuu] [[ស្រា]] [[ទំពាំងបាយជូរ]] <br>1). grape wine."
យើះ,"<br>1). See: យើ"
ធនវិភាគ,"[tʰʊən viʔpʰiek] [[ធន]] [[វិភាគ]] <br>1). distribution of wealth."
ទឡ្ហ,"<br>1). See: ទល់."
រតែករតោក,"[rɔtaek-rɔtaok] <br>1). p very sloppy (of clothing)."
ក្បិតជូនថ្ម,"[kbət cuun tmɑɑ] [[ក្បិត]] [[ជូន]] [[ថ្ម]] <br>1). a kind of plant (Dichrocephala latifolia). Tandart"
សាបតេយ្យ,"[saapaʔtay] <br>1). n wealth
សង្ខិត្តចិត្ត,"[saŋkʰəttaʔ~sɑŋkʰət cət] [[សង្ខិត្ត]] [[ចិត្ត]] <br>1). scary feeling."
អម្ពិលអាចម៍ឆ្មា,"[ʔɑmpɨl ʔac cmaa] [[អម្ពិល]] [[អាចម៍ឆ្មា]] <br>1). kind of tamarind with small fruit which resemble cat dung in shape. See: អម្ពិលក្ដាម"
រវិរង្សី,"[reaʔviʔ reaŋsəy] [[រវិ]] [[រង្សី]] <br>1). sunlight. See: រវិរស្មី"
ធ្វើឲ្យស,"[tvəə ʔaoy sɑɑ] [[ធ្វើឲ្យ]] [[ស]] <br>1). to whiten something."
កង្វល់,"[kɑŋvɑl] <br>1). n worry
ពស់ក្បាលពីរ,"[pʊəh kbaal pii~pɨl] [[ពស់]] [[ក្បាល]] [[ពីរ]] <br>1). snake with a tail resembling its head (possibly Typhlops species). double agent
