ກ	ພຍັນຊນະຕົວທີ 1 ເປັນພວກອັກສອນກາງ ແລະໃຊ້ເປັນຕົວສະກົດໃນແມ່ກັກ. 	
ກະດັນງາ	ນ.	ຕົ້ນໄມ້ແນວນຶ່ງ ດອກເປັນກາບສ້ອຍ ມີ 3 ກາບ ສີເຫລືອງ ກິ່ນຫອມ ມີ 2 ແນວ ຄື:    ກະດັນງາບ້ານ ແລະກະດັນງາປ່າ. 	
ກະດານ	ນ.	ແຜ່ນແປ້ນ, ແຜ່ນຫີນ, ແຜ່ນແປ້ນ ຫລື ຫີນ ສຳລັບໃຊ້ຂຽນໜັງສື.  	
&nbsp; &nbsp; &nbsp; 	ກະດານດຳ	ນ. ຫີນ    ຫລືແປ້ນສີດຳສຳລັບຂຽນໜັງສື.  	
&nbsp; &nbsp; &nbsp; 	ກະດານຫີນ	ນ. ແຜ່ນຫີນ, ພະລານຫີນ.  	
&nbsp; &nbsp; &nbsp; 	ກະດານຫົວ	ນ.    ດູກຫົວ. "ສອນສແວງມ້າງກະດານຫົວເຕນໄຕ່" (ຈາກໜັງສືສັນໄຊ) 	
ກະດົ້ນ	ນ.	ອະວັຍວະ ບ່ອນທາງຫລັງຂອງຫົວ ຕໍ່ຈາກຄໍຂຶ້ນໄປ (ງ່ອນດົ້ນ ກໍວ່າ) 	
ກະໂດນ	ນ.	ໄມ້ຈຳພວກນຶ່ງ ໃບແລະເປືອກມີຣົດຝາດ ໃບອ່ອນໃຊ້ເປັນອາຫານໄດ້ ມີ 3 ແນວ ຄື:    1/ກະໂດນໂຄກ ເປັນຕົ້ນໄມ້ຂນາດໃຫຍ່  2/ກະໂດນນໍ້າ ເປັນຕົ້ນໄມ້ຂນາດນ້ອຍແລະ    ມັກເກີດຕາມທາມ  3/ກະໂດນເບັ້ຍ ເປັນໄມ້ພຸ່ມມັກເກີດຕາມທົ່ງ. 	
ກະດິບໆ	ວ.	ອາການດືບໄປແຫ່ງແມງບົ້ງ ຫລື ປີງ. 	
ກະດຶບໆ	(ດັ່ງດຽວກັນກັບ ກະດິບໆ ແຕ່ເປັນອາການຂອງຕົວໃຫຍ່) 	
ກະເດບໆ	ວ.	ອາການດືບໄປ ຫລື ໂອບຂຶ້ນດັ່ງຄົນໂອບຂຶ້ນຕົ້ນໄມ້ ເປັນຕົ້ນ. 	
ກະແດບໆ	(ດັ່ງດຽວກັນກັບ ກະເດບໆ ແຕ່ເປັນອາການຂອງຕົວນ້ອຍ) 	
ກະແດບເດົ້າ	ນ.	ຊື່ນົກແນວນຶ່ງ ເປັນນົກຫາກິນຕາມແຄມນໍ້າ ຕົວນ້ອຍ ຂົນສີໝົ່ນ ເວລາຢືນທຳອາການ    ເດົ້າງັບໆນົກກະແດບດິນ ກໍວ່າ "ຈິບກ່າປໍ້ເປັຍຝ້າຍກະແດບດິນ" (ຈາກໜັງສືສິນໄຊ) 	
ກະດຶມ	ວ.	ອາການທີ່ທຳໃຫ້ຂົນລຸກເພາະຂີ້ດຽດ. 	
ກະດຸມ	ນ.	ໝາກຕຸ້ມໂສ້ງເສື້ອ ຫລື ກະເປົ໋າ (ດຸມ ກໍວ່າ) 	
ກະດຸມພີ	ນ.	ຄົນມີເງິນ (ປ. ກຸຕຸມພີ) 	
ກະດຸມພີດ	(ຄຳດຽວກັບ ກະດຸມພີ): "ເສດຖີພ້ອມພາມມະນາກະດຸມພີດ" (ຈາກໜັງສືສິນໄຊ) (ປ.    ກຸຕຸມພີ+ອິສ)  	
ກະດອມ	ນ.	ໄມ້ຈຳພວກນຶ່ງ ມີ 3 ແນວ ຄື: 1/ກະດອມຕົ້ນ ເປັນໄມ້ຂນາດກາງ ໃບສ້ອຍດອກເປັນພົ້ວ    ສີຂາວ  2/ກະດອມພຸ່ມ ເປັນໄມ້ພຸ່ມ ດອກສີຂາວກິ່ນຫອມ  3/ກະດອມເຄືອ ດອກສີຂາວ    ໝາກເປັນລ່ຽມມີຣົດຂົມ  	
ກະດຽມ	ວ.	ອາການທີ່ທຳໃຫ້ຂົນລຸກ, ອາການທີ່ພາໃຫ້ອາຍໃນໃຈ, ຫລືອາການທຳໃຫ້ຢາກຫົວເພາະຖືກ    ໜິ່ງ. 	
ກະເດ່ວ	ວ.	ບາດຍ່າງທີ່ບໍ່ສເມີຂອງຄົນເຈັບຂາ ຫລື ຕີນ. 	
ກະແດ່ວ	(ດັ່ງດຽວກັບ ກະເດ່ວ ແຕ່ເປັນອາການຂອງຜູ່ນ້ອຍ) 	
ກະດຽວວ່າ	ກ.	ຢຽວວ່າ, ຄຶດວ່າ, ເຂົ້າໃຈວ່າ. 	
ກະຕະເວທີ	ນ.	ການຮູ້ຈັກຄຸນທີ່ຄົນອື່ນທຳໃຫ້ແກ່ຕົນ, ການຕອບແທນຄຸນ (ປ.) 	
ກະຕາທິການ	ນ.	ບຸນອັນຍິ່ງທີ່ທຳໄວ້ (ປ. ກຕາທິກາຣ)  	
ກະຕ່າ	ນ.	ເຄື່ອງສານດ້ວຍຕອກ ຫລືລວດ ຮູບກົມ ມີຮວງ ຫລືສາຍ ສຳລັບໃສ່ສິ່ງຂອງ. 	
ກະຕ່າກວຍ	ນ.	ກະຕ່າທີ່ສານໄຂວ່ເປັນຕາຫ່າງໆ  	
ກະຕິ	ນ.	ກະດີ. (ປ. ກຸຕິ) 	
ກະແຕະ	ນ.	ເຄື່ອງສານດ້ວຍໄມ້ໄຜ່: ສານລາຍຂັດເປັນແຜ່ນສຳລັບຕາກຂອງຫລືເຮັດຝາ (ຝາແຕະ ກໍວ່າ) 	
ກະແຕ	ນ.	ສັດສີ່ຕີນແນວນຶ່ງຈຳພວກໄຕ່ໄມ້ ຕົວຂນາດກະຮອກດຳ ຂົນສອງຂ້າງມີສີຂາວເປັນແຊກ. 	
ກະແຕແຊ	ນ.	ຝາອັດກະຕ່າສຳລັບໃສ່ປາ (ແຕແຊ ກໍວ່າ) 	
ກະແຕລອດຂອນ	ນ.	ຊື່ໄມ້ພຸ່ມແນວນຶ່ງ ມີຫົວ ໃຊ້ຫົວເຮັດຢາ (ຫົວຄ້ອນກະແຕ ກໍວ່າ) 	
ກະຕໍ້	ນ.	ເຄື່ອງຫລິ້ນຢ່າງນຶ່ງ ເຮັດດ້ວຍຫວາຍ ຫລື ໜັງຮູບມົນ ສຳລັບເຕະ ຫລື ຕົບ. 	
ກະເຕິ	ນ.	ຝາແຕະເປັນຕາຫ່າງໆພໍຂອງນ້ອຍລອດລົງໄດ້ (ເອີ້ນວ່າ ຝາກະເຕິ ຫລື ຝາເຕິ):    ຂີ້ເຫຍື່ອໄຫລມາເກາະກັນເປັນແຜ່ນຢູ່ບ່ອນນໍ້າເວີນ (ເອີ້ນຂີ້ກະເຕິ) 	
ກະເຕິລອດຊ່ອງ	ນ.	ຝາເຕິມີຮູບຄືເຝືອນ ສຳລັບໃສ່ເຂົ້າແປ້ງທີ່ກວນໃຫ້ລອດລົງເປັນກ້ອນນ້ອຍໆ. 	
ກະໄຕ	ນ.	ມີດແຊມ, ມີດຕັດຜົມ, ມີດສຳລັບໜີບຜົມ ເປັນຕົ້ນ ດູກຄາງ, ຄາງ (ສ. ກຣໄຕ) 	
ກະໄຕ້	ນ.	ກະບອງ. 	
ກະເຕົາ	ນ.	ປາແຫ້ງທີ່ຕາກໝົດທັງຂີ້ໂດຍບໍ່ຄົວ ສ່ວນຫລາຍແມ່ນປາຂາວປາແຕບ. 	
ກະຕໍ່າ	ນ.	ເຄື່ອງຫ້າງເອົາສັດປ່າ ເຮັດດ້ວຍໄມ້ເປັນທ່ອນຍາວ ມີສາຍໃຍພານ ເວລາສັດຢຽບ    ຫລືພານສາຍໄມ້ນັ້ນລັ່ນລົງເຕັງ. 	
ກະຕັກ	ນ.	ໄມ້ແສ້ມີເຫລັກຢູ່ປາຍ ສຳລັບແທງງົວໃຫ້ເດີນໄວ. (ຮຽກວ່າ ເຫລັກປະຕັກຫລືເຫລັກ    ກະຕັກ) 	
ກະຕາກ	ກ.	ສຽງໄກ່ຮ້ອງໃນເວລາມັນໄຂ່ ຫລື ຕື່ນຕົກໃຈ. 	
ກະຕິກ	ນ.	ພາຊນະ ສຳລັບໃສ່ນໍ້າເຢັນ ຫລື ນໍ້າຮ້ອນ ຮູບຕ່າງໆ (ຕິກ ກໍວ່າ) 	
ກະຕືກ	ນ.	ຕົວພຍາດທີ່ປົນຢູ່ກັບອຸດຈາຣະ ມີ 2 ແນວ ຄື: ກະຕືກແປ ຕົວແພບແລະຍາວ, ກະຕືກກົມ    ຕົວກົມຄືຂີ້ກະເດືອນ. 	
ກະຕ່ອງ	ນ.	ເຄື່ອງສຳລັບຕັກເອົາຂອງ ສານດ້ວຍ ປໍ ປ່ານ ຫລືໄມ້ ມີຄັນຈັບ. 	
ກະຕັງກະຕິ້ວ	ນ.	ຊື່ຕົ້ນໄມ້ແນວນຶ່ງ ມີຢາງ ແລະ ຢາງໃຊ້ເປັນປໂຍດໄດ້ຫລາຍຢ່າງ. 	
ກະຕ່າຍ	ນ.	ສັດສີ່ຕີນແນວນຶ່ງ ຫູຍາວ ເປັນສັດກິນຫຍ້າມີ 2 ປະເພດ ຄື: ກະຕ່າຍປ່າ ແລະ    ກະຕ່າຍບ້ານ  	
&nbsp; &nbsp; &nbsp; 	ກະຕ່າຍໝໍ້	ນ. ກະຕ່າຍແນວທີ່ມີຂົນສີມຸມແລະຕົວໃຫຍ່. 	
ກະຕ່າຍ	ນ.	ເຄື່ອງສຳລັບຂູດໝາກພ້າວ. 	
ກະຕ່ອຍ	ນ.	ພູປ່າ, ພູແນວໃບຮີແລະກິ່ນຂິວ ເອີ້ນ ພູກະຕ່ອຍ 	
ກະຕາດ	ນ.	ຝາສານລາຍຂັດ (ຝາກະຕາດຕ້ອນ) 	
ກະຕຸດ	ນ.	ແຜ່ນເງິນ ຫລືຄຳທີ່ຂຽນຄາຖາໃສ່ ນັບຖືວ່າເປັນເຄື່ອງແຄ້ວຂອງຄົງ, ເຄື່ອງແຄ້ວຄົງ. 	
ກະຕັນຍູ	ນ.	ຜູ່ຮູ້ຈັກຄຸນຂອງຜູ່ອື່ນ, ຜູ່ຕອບແທນຄຸນຜູ່ອື່ນ (ປ. ກຕັນຍູ) 	
ກະຕາບໆ	ວ.	ອາການດືບຂຶ້ນລົງຈາກທີ່ສູງ. 	
ກະຕິບ	ນ.	ພາຊນະ ສານດ້ວຍຕອກໄມ້ ສຳລັບໃສ່ເຂົ້າ (ຕິບ ກໍວ່າ) 	
ກະຕຶບ	ນ.	ເຮືອນຊັ້ນດຽວທີ່ກໍ່ດ້ວຍດິນ, ຕຶກ. 	
ກະຖາ	ນ.	ຄຳເວົ້າ, ເຣື່ອງ. (ປ. ກຖາ) 	
ກະຖາພັນ	ນ.	ນິທານ, ເຣື່ອງທີ່ແຕ່ງຂຶ້ນ. (ປ. ກຖາພັນທ) 	
ກະຖາມຸກ	ນ.	ຄຳແນະນຳ, ຂໍ້ຄວາມເບື້ອງຕົ້ນຂອງເຣື່ອງ. (ປ. ກຖາມຸຂ) 	
ກະຖາຣົມ	ນ.	ການກໍ່ເວົ້າ, ຄຳຜາຣົບ. (ປ. ກຖາຣັມພ) 	
ກະຖາຣາມ	ນ.	ສວນນິທານ, ໜັງສືໂຮມນິທານຕ່າງໆ (ປ. ກຖາຣາມ) 	
ກະຖາສົງເຄາະ	ນ.	ໜັງສືໂຮມເຣື່ອງ. (ປ. ກຖາສັງຄຫ) 	
ກະຖາສຣິຕສາຄອນ	ນ.	ທະເລນິທານ. (ສ. ກຖາສຣິຕສາຄຣ) 	
ກະຖືກ	ນ.	ຜູ່ເວົ້າ, ຜູ່ສະແດງ (ຄຳນີ້ມັກຢູ່ຕໍ່ທ້າຍຄຳອື່ນດັ່ງທັມມະກະຖືກ ຜູ່ສະແດງທັມ    (ປ. ກຖິກ) 	
ກະຖາງ	ນ.	ແອ່ງປາກກວ້າງ. (ຕາພີ່ແລເບິ່ງນໍ້າເລີຍແຫ້ງແອ່ງກະຖາງ) 	
ກະຖິນ	ນ.	ຕົ້ນໄມ້ແນວນຶ່ງ ມີ 2 ປະເພດ ຄື: 1/ກະຖິນບ້ານ ໃບເປັນແຫລບ ໜ່ວຍແພບ: ອ່ອນໃຊ້    ເປັນອາຫານໄດ້.  2/ກະຖິນໜາມ ຕົ້ນມີໜາມ ດອກມົນ ສີເຫລືອງ ມີກິ່ນຫອມ. 	
ກະຖິນ	ນ.	ຜ້າທີ່ເອົາເຄນພິກຂຸຜູ່ໄດ້ຈຳວັດສາແລ້ວ, ໄມ້ກັງຄືໄມ້ແບບສຳລັບຄຶງຕັດຈີວອນ,    ໄມ້ຂຶງຜ້າສຳລັບຕັດຈີວອນ, ການເຮັດບຸນດ້ວຍວິທີເອົາຜ້າໄປເຄນສົງ ຕັ້ງແຕ່ເດືອນ    11 ແຮມ 1 ຄໍ່າ ເຖິງເດືອນ 12 ເພັງ. (ປ. ກຖິນ) 	
ກະຖຸນ	ນ.	ເຄື່ອງຍິງສັດມີ 2 ສາຍຜູກກັບສົ້ນຄັນ ຫລື ໄມ້ເປັນງ່າມມີໝ້ອງໃສ່ລູກຢູ່ກາງ    ລູກໃຊ້ກ້ອນຫິນ ຫລື ກ້ອນດິນ. 	
ກະໂຖນ	ນ.	ງ້ຽງ. 	
ກະຖີບ	ນ.	ເຄື່ອງຫ້າງເອົາສັດປ່າທຳດ້ວຍໄມ້ລຳຂນາດນ້ອຍສົ້ນນຶ່ງຕອກໃຫ້ແໜ້ນໄວ້ກັບດິນແລ້ວ    ຫ້າງອ້າສົ້ນນຶ່ງໄວ້ເມື່ອສັດມາພານສາຍໃຍ ສົ້ນທີ່ອ້າຢູ່ນັ້ນກໍດີດລົງ ຫລືຖີບລົງ    ເຕັງສັດໄວ້. 	
ກະທະ	ນ.	ໝໍ້ທີ່ທຳດ້ວຍໂລຫະ ປາກບານ ກົ້ນຕື້ນ ແລະມີຫູຈັບສອງຂ້າງ (ໝໍ້ຂາງ ກໍວ່າ) 	
ກະທາ	ນ.	ນົກແນວນຶ່ງ ຕົວຂນາດໄກ່ແຈ້ ຂົນລາຍ ຂັນສຽງຫອງ ຫາກິນແມງໄມ້ຕາມດິນ (ນົກທາ    ກໍວ່າ) 	
ກະທິ	ນ.	ນໍ້າທີ່ຄັ້ນອອກຈາກນວນໝາກພ້າວ, ນໍ້າມັນໝາກພ້າວ, ໝາກພ້າວແກ່ທີ່ມີນວນແລະນໍ້າແຂ້ນ    ເຂົ້າເປັນມັນ 	
ກະທື	ນ.	ຜັກແນວນຶ່ງຈຳພວກຫວ້ານ ໃຊ້ຫົວແລະດອກເປັນອາຫານ (ອືທື ກໍວ່າ): "ສັບໜໍ່ຂ່າ    ຖືກໜໍ່ອືທື ເຫລືອແຕ່ຄື ມັນຫາກບໍ່ແມ່ນ"  	
ກະທູ້	ນ.	ຫົວຂໍ້ຄວາມເວົ້າ, ຫລັກ, ເຣື່ອງ. 	
ກະແທະ	ນ.	ກຽນ. (ຂ. ຣະເຕະ) 	
ກະທໍ	ນ.	ເຄື່ອງສານດ້ວຍຕອກຫລືລວດຮູບກົມສູງ ສຳລັບໃສ່ຂອງ (ທໍ ກໍວ່າ) 	
ກະໄທ	ນ.	ຄົນຜູ່ຊາຍ ດັ່ງ: ກະໄທຊາຍ. 	
ກະທຳ	ກ.	ເຮັດ, ຕົກແຕ່ງ, ຈັດແຈ່ງ, ສ້າງຂຶ້ນ. (ທຳ ກໍວ່າ) 	
ກະແທກ	ກ.	ແດກ, ທັ່ງ. 	
ກະທັ່ງ	ບ.	ເທົ້າເຖິງ, ຮອດ. (ລືກະທັ່ງເທົ້າດິນຟ້າຂ່າວຂາມ) 	
ກະທ້າງ	ນ.	ສັດສີ່ຕີນແນວນຶ່ງຈຳພວກໄຕ່ໄມ້ ຕົວຄືກະປອມແຕ່ໃຫຍ່ກວ່າແລະຄໍມີສີແຫລ້. 	
ກະທິງ	ນ.	ສັດສີ່ຕີນຈຳພວກຄ້ຽວເອື້ອງ ຕົວຄ້າຍຄືງົວປ່າແຕ່ໃຫຍ່ກວ່າງົວປ່າ ຂົນແຄ່ງແລະ    ໜ້າຜາກສີເຫລືອງ  	
ກະທິງ	ນ.	ບັ້ງທິງ. "ຍັງກະທິງນໍ້າເຜີ້ງອັນຫວານ" (ເວດສັນຕຣະ) 	
ກະທົງ	ນ.	ພາຊນະ ເຮັດດ້ວຍກາບກ້ວຍ ຫລື ໃບຕອງສຳລັບໃສ່ຂອງຜອກຜີ.  	
&nbsp; &nbsp; &nbsp; 	ກະທົງໜ້າງົວ	ນ.    ກະທົງກາບກ້ວຍທີ່ເຮັດເປັນຮູບສາມລ່ຽມ. 	
ກະເທີຍ	ນ.	ຄົນ ຫລືສັດທີ່ບໍ່ຜາກົດວ່າເປັນຍິງຫລືຊາຍຄັກແນ່ (ເທີຍ ກໍວ່າ) 	
ກະທວາຍ	ນ.	ສັດສີ່ຕີນຕົວຂນາດຟານ ຂົນອ່ອນແລະແລບ. "ຂາກະທວາຍແຫ້ງອັນກະແດ້ງດ້ວຍແດດແລະແປວ    ໄຟ". (ເວດສັນຕຣະ) ທວຍ ກໍວ່າ: "ຝູງກວງທວຍ ແລະ ແຮດຊ້າງ" (ເວດສັຕຣະ) ຊາຍ    ກໍວ່າ: "ກວງຊາຍຟານລະມັ່ງໝູເໝືອຍເໝັ້ນ" (ສິນໄຊ) 	
ກະທັດ	ສົມສ່ວນ, ພໍດີ. 	
ກະທາດ	ນ.	ໄມ້ເຄືອແນວນຶ່ງ ເຄືອມີໜາມ ຫົວແລະເຄືອຄ້າຍຄືກອຍ ມັກເກີດຕາມທາມ. 	
ກະທັນຫັນ	ວ.	ທັນທີທັນໃດ. 	
ກະເທີນ	ວ.	ຢູ່ລະຫວ່າງເຄີ່ງກາງ, ກະຈາ. 	
ກະທົບ	ກ.	ຊູນໂດຍແຮງ, ຕ້ອງ, ຖືກ. (ທ. ກຣະທົບ) 	
ກະທົບກະເທືອນ	ກ.	ສະເທືອນ, ທຳໃຫ້ຮ້ອນເຖິງ, ທຳໃຫ້ຫວັ່ນໄຫວ. 	
ກະທ່ອມເລືອດ	ນ.	ໄມ້ເຄືອແນວນຶ່ງ ບ່ອນເຫງົ້າເປັນຫົວໃຫຍ່ໃຊ້ເປັນຢາໄດ້. 	
ກະທຽມ	ນ.	ຜັກແນວນຶ່ງ ຫົວເປັນງີມ ຫລືງ່ຽງ ເປັນຜັກ ທີ່ຄົນປູກ (ຜັກທຽມ ກໍວ່າ) 	
ກະທຽມດອງ	ນ.	ຫົວຜັກທຽມທີ່ດອງໃສ່ເກືອ ມີຣົດເຄັມແລະສົ້ມ. 	
ກະແທວ	ນ.	ໄມ້ພຸ່ມແນວນຶ່ງ ຕາມງ່າແລະຕົ້ນມີໜາມງໍແລະຄົມ 	
ກະທຽວ	ນ.	ຖົງສານເປັນຕາຫ່າງໆສຳລັບໃສ່ຂອງ (ເອີ້ນຖົງກະທຽວ) 	
ກະໄນ່	ນ.	ສັດສີ່ຕີນຈຳພວກໄຕ່ໄມ້ ຕົວຂນາດກະແຕ ຂົນແກ້ມສີແດງອ່ອນ. 	
ກະນ່ອງ	ນ.	ອະວັຍວະ ຂອງຄົນແລະສັດ ບ່ອນຂາກັບຕີນຕໍ່ກັນທາງດ້ານຫລັງ. 	
ກະນ່ອງມ້າ	ນ.	ຜັກແນວນຶ່ງ ເກີດຢູ່ຕາມໜອງ ໃບຄືເລັບມ້າ. 	
ກະນານ	ນ.	ກະໂປະ: ປໍ້ໝາກໄມ້ທີ່ມີນວນຢູ່ທາງໃນ, ກະໂປະໝາກພ້າວ (ທະນານ ກໍວ່າ) 	
ກະນິດຖາ	ນ.	ນ້ອງ, ນິ້ວກ້ອຍ, (ປ. ກນິຕຖາ)  	
&nbsp; &nbsp; &nbsp; 	ກະນິດຖະພາຄິນີ	ນ. ນ້ອງສາວ.   	
&nbsp; &nbsp; &nbsp; 	ກະນິດຖະພາຕາ	ນ.    ນ້ອງຊາຍ (ປ.) 	
ກະນູນ	ນ.	ແມງຈຳພວກນຶ່ງຢູ່ໃນດິນມີປີກບິນໄດ້ ກິນໃບໄມ້ອ່ອນ. (ຈີ່ນູນ ກໍວ່າ) 	
ກະໂນນ	ນ.	ເນື້ອໜັງຂອງຄົນແລະສັດບ່ອນຊື່ດູກສັນຫລັງສຸດ. 	
ກະບາ	ນ.	ນົກແນວນຶ່ງ ເປັນນົກຫາກິນເວລາຄໍ່າແລະນອນຢູ່ກັບດິນ, ຊື່ງູພິດແນວນຶ່ງ    ຕົວຂນາດນິ້ວມື ປາກກວ້າງຄືນົກກະບາ (ເອີ້ນ ງູເພົາກະບາ ກໍມີ), ຊື່ໄມ້ພຸ່ມ    ແນວນຶ່ງ ໃບສີໝົ່ນມັກເກີດຕາມບະ (ຕົ້ນຕັງໝອງກໍວ່າ) 	
