a	masculine noun <br>(letra) A, a <br><p-l>XXX de A a Z </p-l>YYYfrom A to Z 
stash	<ul><li>A transitive verb <br>esconder <br><p-l>XXX to stash money under the floorboards </p-l>YYYesconder dinheiro em baixo das tábuas do chão </li><li>B noun <br>esconderijo m <br><p-l>XXX they found a stash of heroin in the car </p-l>YYYacharam heroína escondida no carro <br>PHRASAL VERB <br>stash away <br>[stash sth away, stash away sth] <br>esconder <br><p-l>XXX I'm sure he has some really good pictures stashed away somewhere </p-l>YYYtenho certeza de que ele tem algumas ótimas fotos escondidas em algum lugar </li></ul>
stasis	noun uncountable <br>estase f 
state	<ul><li>A noun <ol><li>1 countable (condition) estado m <br><p-l>XXX he is in a confused state of mind </p-l>YYYele está num estado de confusão mental <br><p-l>XXX she's in a poor state of health </p-l>YYYela está em um mau estado de saúde <br><p-l>XXX the building is in a bad state of repair </p-l>YYYo edifício está em um mau estado de conservação <br><p-l>XXX the present state of affairs </p-l>YYYno atual estado das coisas <br><p-l>XXX sb's financial state </p-l>YYYa situação financeira de alguém </li><li>2 countable <br><p-l>XXX informal (agitated condition) to be in a state </p-l>YYYestar em um estado de confusão mental <br><p-l>XXX to get (oneself) in or into a state </p-l>YYYentrar em um estado de confusão mental </li><li>3 countable British informal (mess) estado m <br><p-l>XXX what a state this place is in! </p-l>YYYolhe o estado deste lugar! <br><p-l>XXX look at the state of you! </p-l>YYYolhe o seu estado! </li><li>4 countable (molecular condition) estado m <br><p-l>XXX a gaseous/solid state </p-l>YYYum estado gasoso/sólido <br><p-l>XXX water in a liquid state </p-l>YYYágua em estado líquido </li><li>5 countable (part of country) estado m <br><p-l>XXX the state of Kansas </p-l>YYYo estado do Kansas <br><p-l>XXX the southern states of the United States </p-l>YYYos estados do sul dos Estados Unidos <br>before n, estadual <br><p-l>XXX state taxes </p-l>YYYimpostos estaduais <br><p-l>XXX the state legislature </p-l>YYYo Legislativo do Estado </li><li>6 countable (country) Estado m <br><p-l>XXX a sovereign state </p-l>YYYum Estado soberano <br><p-l>XXX EU member state </p-l>YYYum Estado-Membro da União Europeia <br><p-l>XXX the Baltic states </p-l>YYYos Países Bálticos <br><p-l>XXX the state of Tunisia </p-l>YYYo Estado da Tunísia <br><p-l>XXX a state within a state </p-l>YYYum Estado dentro de um Estado </li><li>7 countable and uncountable (government) Estado m <br><p-l>XXX matters or affairs of state </p-l>YYYassuntos de Estado <br><p-l>XXX the separation of church and state </p-l>YYYa separação da igreja do Estado <br>before n, público <br><p-l>XXX a state school/company </p-l>YYYuma escola/empresa pública <br><p-l>XXX state benefits </p-l>YYYsubsídios do Estado <br><p-l>XXX state secrets </p-l>YYYsegredos de Estado </li><li>8 uncountable <br><p-l>XXX (formal ceremony) robes of state </p-l>YYYhonras de Estado <br><p-l>XXX the President was driven in state to the White House </p-l>YYYo presidente foi levado com pompa à Casa Branca <br><p-l>XXX before n a state banquet/coach </p-l>YYYum jantar/carro oficial <br><p-l>XXX to go on a state visit to Tokyo </p-l>YYYfazer uma visita oficial a Tóquio <br><p-l>XXX the state apartments </p-l>YYYos apartamentos funcionais </li><li>B States plural noun <br>(= United States of America) <br><p-l>XXX the States </p-l>YYYinformal os Estados Unidos </li><li>C transitive verb <ol><li>1 (say, write) afirmar, declarar <br><p-l>XXX he stated categorically that he knew nothing about the deal </p-l>YYYele afirmou categoricamente que não sabia nada sobre o acordo <br><p-l>XXX it was stated that standards at the hospital were dropping </p-l>YYYafirmou-se que os padrões do hospital estavam caindo <br><p-l>XXX to state the obvious </p-l>YYYafirmar o óbvio <br><p-l>XXX as stated above/below </p-l>YYYcomo afirmado acima/abaixo <br><p-l>XXX to state one's intention to run for election </p-l>YYYmanifestar intenção de concorrer às eleições <br><p-l>XXX to state one's position </p-l>YYYinformar a sua posição </li><li>2 (provide as information) informar <br><p-l>XXX to state one's name and address </p-l>YYYinformar o nome e endereço <br><p-l>XXX you must state all your sources of income </p-l>YYYvocê deve informar todas as suas fontes de renda </li><li>3 (specify) especificar <br><p-l>XXX do not exceed the stated dose </p-l>YYYnão exceda a dose especificada </li><li>4 Law <br><p-l>XXX to state one's case </p-l>YYYdeclarar o caso <br>IDIOM <br>in a state of undress <br>nu </li></ol></li></ul>
state-controlled	adjective <br>estatal 
state department	proper noun <br>Politics (in US) Departamento m  de Estado (responsável pela política externa <br>dos EUA) 
state-funded	adjective <br>financiado pelo Estado 
stateless	adjective <br>apátrida 
statelessness	noun uncountable <br>apatridia f 
stately	adjective <br>(grand, dignified) imponente ‹mansion› ; (slow, unhurried) cadenciado <br>‹progress› 
stately home	noun British <br>casa f  senhorial 
statement	noun <ol><li>1 (expression of view) declaração f <br><p-l>XXX a statement on or about sth </p-l>YYYuma declaração sobre algo <br><p-l>XXX to make or issue or release a statement </p-l>YYYfazer or dar uma declaração <br><p-l>XXX a statement of belief </p-l>YYYuma declaração de fé <br><p-l>XXX a statement of intent/principle </p-l>YYYuma declaração de intenções/princípios <br><p-l>XXX a statement of fact </p-l>YYYuma declaração de fatos </li><li>2 Law depoimento m <br><p-l>XXX to take a statement </p-l>YYYtomar um depoimento <br><p-l>XXX to make a false statement </p-l>YYYprestar um depoimento falso </li><li>3 Finance extrato m <br><p-l>XXX bank statement </p-l>YYYextrato bancário <br><p-l>XXX a statement of account </p-l>YYYum extrato de conta-corrente </li></ol>
state of affairs	noun <br>conjuntura f <br><p-l>XXX the present state of affairs </p-l>YYYa atual conjuntura 
state of emergency	noun <br>estado m  de emergência <br><p-l>XXX to declare a state of emergency </p-l>YYYdeclarar estado de emergência 
state of the art	noun uncountable <br>estado m  da arte <br><p-l>XXX the state of the art in 3D printing </p-l>YYYo estado da arte em impressão 3D <br><p-l>XXX before n a state-of-the-art computer program </p-l>YYYum programa de computador de ponta 
state of the union address	Um discurso feito pelo Presidente dos EUA (▶ President), dirigido ao Congresso <br>(▶ Congress). É realizado devido à obrigação, estabelecida na Constituição (▶ <br>Constitution), de proporcionar "informação sobre o estado da União". No <br>discurso, também são mencionadas as conquistas do governo, além dos planos e <br>políticas futuras. É transmitido ao vivo pela televisão. 
state-owned	adjective <br>estatal 
state registered nurse	noun British <br>enfermeiro m  qualificado, enfermeira f  qualificada 
stateroom	noun <ol><li>1 (ceremonial hall) salão m  de recepção Brazil, salão m  de receção Portugal </li><li>2 Nautical camarote m </li></ol>
state-run	adjective <br>estatal 
state school	Na Grã-Bretanha, um colégio que é financiado direta ou indiretamente pelo <br>governo, e que oferece educação gratuita. A grande maioria das crianças <br>britânicas frequenta este tipo de escola. 
stateside	<ul><li>A adjective <br>nos Estados Unidos </li><li>B adverb <br>(in the United States) nos Estados Unidos; (to or toward the United States) <br>aos Estados Unidos </li></ul>
statesman	noun pl statesmen <br>estadista m 
statesmanlike	adjective <br>diplomático 
statesmanship	noun uncountable <br>diplomacia f <br><p-l>XXX to show statesmanship </p-l>YYYdemonstrar diplomacia 
stateswoman	noun pl stateswomen <br>estadista f 
state trooper	noun US <br>policial mf  estadual 
statewide	<ul><li>A adjective <br>estadual </li><li>B adverb <br>por todo o estado (nos Estados Unidos) </li></ul>
static	<ul><li>A adjective <ol><li>1 (stationary) estático </li><li>2 Computing estático </li><li>B noun uncountable <ol><li>1 (interference) estática f </li><li>2 = static electricity </li></ol></li></ul>
static electricity	noun uncountable <br>eletricidade f  estática 
station	<ul><li>A noun <ol><li>1 (stop for train, buses) estação f <br><p-l>XXX I get off at the next station </p-l>YYYdesço na próxima estação <br><p-l>XXX the station platform </p-l>YYYa plataforma da estação <br><p-l>XXX the bus station </p-l>YYYa rodoviária </li><li>2 the station <br>(police office) a delegacia </li><li>3 Television, Radio estação f <br><p-l>XXX a local/national radio station </p-l>YYYuma estação de rádio local/nacional <br><p-l>XXX to tune to or into another station </p-l>YYYsintonizar outra estação </li><li>4 Military (base) base f </li><li>5 Australian New Zealand (farm) criação f </li><li>6 (place for particular activity) estação f <br><p-l>XXX an agricultural research station </p-l>YYYuma estação de pesquisa agrícola <br><p-l>XXX a pollution monitoring station </p-l>YYYuma estação de monitoramento da poluição </li><li>7 Military (post) posto m <br><p-l>XXX to be at one's station </p-l>YYYestar no posto </li><li>8 formal (social rank) posição f  social <br><p-l>XXX to get ideas above one's station </p-l>YYYalmejar coisas além da posição social </li><li>9 Religion <br><p-l>XXX Station of the Cross </p-l>YYY(religious picture or carving) Via Sacra <br><p-l>XXX to do the Stations of the Cross </p-l>YYYfazer a Via Sacra </li><li>B transitive verb <br><p-l>XXX (base, position) troops stationed abroad </p-l>YYYsoldados com base no exterior <br><p-l>XXX they're stationed in Germany </p-l>YYYeles estão em uma base na Alemanha <br><p-l>XXX to station a guard at the crossroads </p-l>YYYcolocar um guarda em base na interseção </li><li>C to station oneself reflexive verb <br>(position oneself) pôr-se <br><p-l>XXX she stationed herself at the window to await his return </p-l>YYYela se pôs na janela para aguardar o retorno dele <br><p-l>XXX he stationed himself behind the door </p-l>YYYele se pôs atrás da porta </li></ol></li></ul>
stationary	adjective <br>estacionário 
station break	noun US <br>intervalo para anunciar o nome, prefixo e frequência de uma estação de rádio 
stationer	noun <ol><li>1 (person) gerente mf  de papelaria, dono m  de papelaria/ dona f  de <br>papelaria </li><li>2 (store) a stationer's (store) <br>uma papelaria </li></ol>
stationery	noun uncountable <ol><li>1 (writing materials) artigos mpl  de papelaria <br><p-l>XXX a stationery order </p-l>YYYum pedido de artigos de papelaria </li><li>2 (letter paper) papel m  de carta </li></ol>
stationery store	noun US <br>papelaria f 
stationmaster	noun British <br>chefe mf  de estação 
station wagon	noun (mainly US) <br>perua f Brazil, carrinha f Portugal 
statistic	noun <br>estatística f, dado m <br><p-l>XXX official/government statistics </p-l>YYYestatísticas oficiais/do governo <br><p-l>XXX unemployment statistics </p-l>YYYdados do desemprego <br><p-l>XXX the statistics on sth </p-l>YYYas estatísticas sobre algo ‹prices› <br><p-l>XXX statistics show that … </p-l>YYYas estatísticas mostram que … <br><p-l>XXX to collect or gather statistics </p-l>YYYcoletar or reunir dados 
statistical	adjective <br>estatístico 
statistically	adverb <br>estatisticamente 
statistician	noun <br>estatístico m / estatística f 
statistics	plural noun <ol><li>1 \\+ v sing (practice, science) estatística f </li><li>2 \\+ v pl (figures) estatísticas fpl, dados mpl </li></ol>
stats	plural noun <br>= statistics 
statuary	noun uncountable <br>estatuaria f <br><p-l>XXX Roman statuary </p-l>YYYestatuaria romana 
statue	noun <br>estátua f 
statue of liberty - the statue of liberty	<ul><li>A famosa estátua situada na Liberty Island, na baía de Nova York, representa <br>uma mulher levando a tocha da liberdade. Foi um presente da França ao povo dos <br>EUA. </li></ul>
statuesque	adjective <br>escultural 
statuette	noun <br>estatueta f 
stature	noun uncountable <br>nível m <br><p-l>XXX small/tall of or in stature </p-l>YYYde baixo/alto nível <br><p-l>XXX to give sb stature </p-l>YYYaumentar o nível de alguém <br><p-l>XXX intellectual stature </p-l>YYYnível intelectual <br><p-l>XXX to be of considerable/international stature </p-l>YYYser de um nível considerável/internacional 
status	masculine noun <br>status <br><p-l>XXX alcançar/adquirir um certo status </p-l>YYYto reach/acquire a certain status 
status bar	noun <br>barra f  de status Brazil, barra f  de estado Portugal 
status quo	masculine noun <br>status quo 
status symbol	noun <br>símbolo m  de status 
statute	noun <br>uncountable  and countable estatuto m <br><p-l>XXX by statute </p-l>YYYpelo estatuto <br><p-l>XXX the University statutes </p-l>YYYo Estatuto da Universidade 
statute book	noun <br>código m  civil <br><p-l>XXX the statute book </p-l>YYYo Código Civil <br><p-l>XXX to be on the statute book </p-l>YYYestar no Código Civil <br><p-l>XXX to reach the statute book </p-l>YYYentrar no Código Civil 
statute law	noun uncountable <br>lei f  estatutária 
statutory	adjective <ol><li>1 Law estatutário <br><p-l>XXX a statutory offense </p-l>YYYBritish um delito estatutário </li><li>2 (customary) costumeiro </li></ol>
statutory rape	noun uncountable  and countable US <br>estupro m <br><p-l>XXX he was convicted of the statutory rape of a 13 year old girl </p-l>YYYele foi condenado pelo estupro de uma garota de 13 anos 
staunch	transitive verb (mainly British) <br>= stanch 
staunchly	adverb <br><p-l>XXX staunchly Republican/Catholic </p-l>YYYum republicano/católico convicto 
stave	noun <ol><li>1 (vertical support) aduela f </li><li>2 (stick, weapon) bastão m </li><li>3 (of barrel) tábua f </li><li>4 Music pauta f <br>PHRASAL VERBS <br>stave in: <br>pt, pp staved stove <br>▶ [stave sth in, stave in sth] <br>amassar <br>stave off: <br>pt, pp staved <br>▶ [stave sth off, stave off sth] <br>evitar <br><p-l>XXX to stave off hunger/thirst </p-l>YYYevitar a fome/sede </li></ol>
staves	plural noun <ol><li>1 ▶ staff A4, A5 </li><li>2 ▶ stave </li></ol>
stay	<ul><li>A intransitive verb <ol><li>1 (remain in place) ficar <br><p-l>XXX I can’t stay </p-l>YYYnão posso ficar <br><p-l>XXX stay! </p-l>YYY(to dog) sente! <br><p-l>XXX to stay in bed/(at) home </p-l>YYYficar na cama/em casa <br><p-l>XXX stay on this road until you come to a fork </p-l>YYYfique nesta estrada até chegar a uma bifurcação <br><p-l>XXX to stay to or for dinner </p-l>YYYficar para o jantar <br><p-l>XXX it will have to stay there (for) a few weeks </p-l>YYYterá que ficar ali (durante) algumas semanas <br><p-l>XXX I'll stay and help you </p-l>YYYficarei para ajudá-lo </li><li>2 (remain in particular state) ficar <br><p-l>XXX she never stays angry for long </p-l>YYYela nunca fica zangada por muito tempo <br><p-l>XXX try to stay calm </p-l>YYYtentar ficar calmo <br><p-l>XXX we promised to stay friends for ever </p-l>YYYprometemos ficar amigos para sempre <br><p-l>XXX inflation stayed below 4% last month </p-l>YYYa inflação ficou abaixo de 4% no mês passado </li><li>3 (be guest or visitor) ficar, hospedar-se <br><p-l>XXX he's coming to stay (for) a few days </p-l>YYYele se hospedará aqui por alguns dias <br><p-l>XXX to stay in a hotel </p-l>YYYficar em um hotel <br><p-l>XXX do you like having people to stay? </p-l>YYYvocê gosta de receber visitas? <br><p-l>XXX to stay the night </p-l>YYYpassar a noite </li><li>4 Scottish South African (live permanently) morar <br><p-l>XXX where do you stay? </p-l>YYYonde você mora? </li><li>B transitive verb <ol><li>1 (suspend, postpone) suspender ‹case, proceedings› </li><li>2 (stop) interromper; (delay) atrasar <br><p-l>XXX to stay the progress of a disease </p-l>YYYinterromper o progresso de uma doença </li><li>C noun <ol><li>1 (period) estadia f <br><p-l>XXX I'm planning a stay of ten days or a ten day stay in London </p-l>YYYestou planejando uma estadia de dez dias em Londres <br><p-l>XXX to have an overnight stay in Singapore </p-l>YYYpassar a noite em Cingapura <br><p-l>XXX enjoy your stay! </p-l>YYYaproveite sua estadia! </li><li>2 Law suspensão f <br><p-l>XXX a stay in the extradition proceedings </p-l>YYYuma suspensão dos procedimentos de extradição </li><li>3 (rope, wire) corda f </li><li>D stays plural noun <br>History (corset) espartilho m <br>IDIOMS <br>to be here to stay, to have come to stay <br>informal chegar para ficar <br>a stay of execution <br>uma suspensão da execução: <br><p-l>XXX to grant (sb) a stay of execution </p-l>YYYconceder uma suspensão de execução a alguém <br>to stay put <br>informal ficar em algum lugar: <br><p-l>XXX I taped the latch so that it would stay put </p-l>YYYamarrei o fecho para que ele ficasse ali <br>to stay the distance/course <br>seguir até o fim <br>PHRASAL VERBS <br>stay around <br>estar/ficar por perto <br><p-l>XXX I'll stay around in case you need me </p-l>YYYficarei por perto caso você precise de mim <br>stay away <ol><li>1 (not approach) afastar-se <br><p-l>XXX stay away from the edge! </p-l>YYYafaste-se da beirada! </li><li>2 (not attend) não ir <br><p-l>XXX to stay away from classes/work </p-l>YYYnão ir às aulas/ao trabalho <br><p-l>XXX they stayed away in protest </p-l>YYYeles não foram em protesto <br>stay behind <br>ficar <br>stay down <ol><li>1 (remain in stomach) parar <br><p-l>XXX I was so ill that not even water would stay down </p-l>YYYeu estava tão doente que nem água parava no meu estômago </li><li>2 (remain lowered) the switch wouldn't stay down <br>o interruptor não ficava abaixado </li><li>3 (remain lying) when he knocks you down, you stay down <br>quando ele o nocauteia, você fica no chão <br>stay in <ol><li>1 (not go out) ficar em casa </li><li>2 (remain inserted) ficar no lugar <br><p-l>XXX the nail wouldn't stay in as the wood was rotten </p-l>YYYo prego não ficava no lugar porque a madeira estava podre <br>stay on <ol><li>1 (not fall off) ficar no lugar <br><p-l>XXX my hat wouldn't stay on </p-l>YYYmeu chapéu não ficava no lugar <br><p-l>XXX the lid won't stay on properly </p-l>YYYa tampa não encaixa direito </li><li>2 (remain behind) permanecer <br><p-l>XXX to stay on in Britain </p-l>YYYpermanecer no Reino Unido </li><li>3 (continue in work post) continuar <br><p-l>XXX I would like him to stay on after his present contract expires </p-l>YYYgostaria que ele continuasse aqui após o vencimento do contrato dele <br><p-l>XXX to stay on as a board member </p-l>YYYcontinuar como membro da diretoria </li><li>4 British <br><p-l>XXX (continue education) to stay on in full-time education </p-l>YYYcontinuar os estudos <br><p-l>XXX he hopes to stay on at the university and do research </p-l>YYYele espera continuar na universidade e fazer pesquisa <br>stay out <br><p-l>XXX (not return home) to stay out all night </p-l>YYYficar na rua a noite inteira <br>stay out of <br>[stay out of sth] <ol><li>1 (not enter) stay out of my room <br>não entre no meu quarto </li><li>2 (not interfere in) just stay out of my business! <br>não se meta nos meus assuntos! </li><li>3 (avoid) to stay out of trouble/the sun <br>evite confusão/o sol </li><li>4 (not come within) tell him to stay out of my way! <br>diga a ele para ficar longe de mim! <br><p-l>XXX to stay out of sight </p-l>YYYficar escondido <br>stay up <ol><li>1 (not fall down) the pants were so big they just wouldn't stay up! <br>a calça era tão larga que ficava caindo! <br><p-l>XXX one wonders how these prefab houses stay up! </p-l>YYYé impressionante como essas casas pré-fabricadas ficam de pé! </li><li>2 (go to bed late) ficar acordado <br><p-l>XXX to stay up late </p-l>YYYficar acordado até tarde <br><p-l>XXX we stayed up all night </p-l>YYYficamos acordados a noite toda <br><p-l>XXX I stayed up until 2 in the morning </p-l>YYYfiquei acordado até as 2 da manhã </li><li>3 (not be relegated) ficar <br>stay with <br>A [stay with sb] <ol><li>1 (be remembered by) his words stayed with her all evening <br>as palavras dele ficaram com ela a noite toda </li><li>2 (keep up with) acompanhar <br><p-l>XXX she managed to stay with the leaders </p-l>YYYela conseguiu acompanhar os que estavam na liderança </li><li>B [stay with sth] <br><p-l>XXX (persevere with) it's a difficult book to get into, but stay with it and </p-l>YYYyou'll enjoy it <br>é um livro difícil de ler, mas se insistir você irá gostar </li></ol></li></ul>
