#no sort
GEN 6:21	<p-n>@1. Mose  6:21</p-n>	Du aber nimm dir von allerlei Speise, die man zu essen pflegt, und sammle sie bei dir an, daß sie dir und ihnen zur Nahrung diene!  
GEN 6:22	<p-n>@1. Mose  6:22</p-n>	Und Noah tat es; er machte alles genau so, wie ihm Gott befahl.   
GEN 7:1	<p-n>@1. Mose  7:1</p-n>	Und der HERR sprach zu Noah: Geh in die Arche, du und dein ganzes Haus! Denn dich habe ich gerecht ersehen unter diesem Geschlecht.  
GEN 7:2	<p-n>@1. Mose  7:2</p-n>	Nimm von allem reinen Vieh zu dir je sieben und sieben, das Männchen und sein Weibchen; von dem unreinen Vieh aber je ein Paar, das Männchen und sein Weibchen;  
GEN 7:3	<p-n>@1. Mose  7:3</p-n>	auch von den Vögeln des Himmels je sieben und sieben, Männchen und Weibchen, um auf dem ganzen Erdboden Samen am Leben zu erhalten.  
GEN 7:4	<p-n>@1. Mose  7:4</p-n>	Denn es sind nur noch sieben Tage, so will ich auf Erden regnen lassen vierzig Tage lang und alles Bestehende von dem Erdboden vertilgen.  
GEN 7:5	<p-n>@1. Mose  7:5</p-n>	Und Noah machte alles, wie ihm der HERR gebot.  
GEN 7:6	<p-n>@1. Mose  7:6</p-n>	Und Noah war sechshundert Jahre alt, da die Wasser der Sündflut auf die Erde kamen.  
GEN 7:7	<p-n>@1. Mose  7:7</p-n>	Er ging aber samt seinen Söhnen, seinem Weib und seiner Söhne Weibern in die Arche vor dem Gewässer der Sündflut.  
GEN 7:8	<p-n>@1. Mose  7:8</p-n>	Von dem reinen Vieh und von dem Vieh, das nicht rein war, und von den Vögeln und von allem, was auf der Erde kriecht,  
GEN 7:9	<p-n>@1. Mose  7:9</p-n>	gingen paarweise in die Arche, Männchen und Weibchen, wie Gott dem Noah geboten hatte.  
GEN 7:10	<p-n>@1. Mose  7:10</p-n>	Und es begab sich nach den sieben Tagen, daß die Wasser der Sündflut auf die Erde kamen.  
GEN 7:11	<p-n>@1. Mose  7:11</p-n>	Im sechshundertsten Lebensjahre Noahs, am siebzehnten Tage des zweiten Monats, an dem Tage brachen alle Quellen der großen Tiefe auf, und die Fenster des Himmels öffneten sich.  
GEN 7:12	<p-n>@1. Mose  7:12</p-n>	Und es regnete auf die Erde vierzig Tage und vierzig Nächte lang.  
GEN 7:13	<p-n>@1. Mose  7:13</p-n>	An ebendemselben Tage war Noah in die Arche gegangen mit Sem, Ham und Japhet, seinen Söhnen, und seinem Weibe und den drei Weibern seiner Söhne;  
GEN 7:14	<p-n>@1. Mose  7:14</p-n>	sie und alle Arten der Tiere und des Viehs und allerlei Kriechendes, was auf Erden kriecht, von jeglicher Art, auch aller Art Geflügel, Vögel und Federvieh;  
GEN 7:15	<p-n>@1. Mose  7:15</p-n>	die kamen zu Noah in die Arche, je zwei und zwei, von allem Fleisch, das lebendigen Odem in sich hatte.  
GEN 7:16	<p-n>@1. Mose  7:16</p-n>	Und die hineingingen, Männchen und Weibchen von allem Fleisch, kamen herbei, wie Gott ihm geboten hatte; und der HERR schloß hinter ihm zu.  
GEN 7:17	<p-n>@1. Mose  7:17</p-n>	Da sich aber die Sündflut vierzig Tage auf die Erde ergoß, wuchsen die Wasser und hoben die Arche, daß sie über der Erde schwebte.  
GEN 7:18	<p-n>@1. Mose  7:18</p-n>	Und die Wasser wurden so groß und nahmen so sehr zu, daß die Arche auf dem Wasserspiegel dahinfuhr.  
GEN 7:19	<p-n>@1. Mose  7:19</p-n>	Ja, das Gewässer nahm so sehr überhand, daß alle hohen Berge unter dem ganzen Himmel bedeckt wurden;  
GEN 7:20	<p-n>@1. Mose  7:20</p-n>	fünfzehn Ellen höher stieg das Wasser, nachdem die Berge schon zugedeckt waren.  
GEN 7:21	<p-n>@1. Mose  7:21</p-n>	Da ging alles Fleisch zugrunde, das auf Erden sich bewegte, Vögel, Vieh und wilde Tiere und alles, was sich auf Erden regte, samt allen Menschen;  
GEN 7:22	<p-n>@1. Mose  7:22</p-n>	und es starb alles, was auf dem trockenen Lande einen lebendigen Odem in der Nase hatte.  
GEN 7:23	<p-n>@1. Mose  7:23</p-n>	Er vertilgte alles Bestehende auf dem Erdboden, vom Menschen an bis auf das Vieh, bis auf das Kriechende und bis auf die Vögel des Himmels; es ward alles von der Erde vertilgt; nur Noah blieb übrig und was mit ihm in der Arche war.  
GEN 7:24	<p-n>@1. Mose  7:24</p-n>	Und das Wasser blieb hoch über der Erde, hundertundfünfzig Tage lang.   
GEN 8:1	<p-n>@1. Mose  8:1</p-n>	Da gedachte Gott an Noah und an alle Tiere und an alles Vieh, das bei ihm in der Arche war; und Gott ließ einen Wind über die Erde wehen, daß die Wasser fielen.  
GEN 8:2	<p-n>@1. Mose  8:2</p-n>	Und die Brunnen der Tiefe wurden verstopft samt den Fenstern des Himmels, und dem Regen vom Himmel ward gewehrt.  
GEN 8:3	<p-n>@1. Mose  8:3</p-n>	Und die Wasser über der Erde nahmen mehr und mehr ab, so daß sie nach hundertundfünfzig Tagen sich vermindert hatten.  
GEN 8:4	<p-n>@1. Mose  8:4</p-n>	Und die Arche ließ sich am siebzehnten Tage des siebenten Monats auf dem Gebirge Ararat nieder.  
GEN 8:5	<p-n>@1. Mose  8:5</p-n>	Und das Gewässer nahm immerfort ab bis zum zehnten Monat; am ersten Tage des zehnten Monats konnte man die Spitzen der Berge sehen.  
GEN 8:6	<p-n>@1. Mose  8:6</p-n>	Und es geschah nach Verfluß von vierzig Tagen, daß Noah das Fenster öffnete an der Arche, das er gemacht hatte.  
GEN 8:7	<p-n>@1. Mose  8:7</p-n>	Und er sandte den Raben aus; der flog hin und her, bis das Wasser auf Erden vertrocknet war.  
GEN 8:8	<p-n>@1. Mose  8:8</p-n>	Darnach sandte er die Taube aus, daß er sähe, ob des Wassers auf Erden weniger geworden wäre.  
GEN 8:9	<p-n>@1. Mose  8:9</p-n>	Aber die Taube fand keinen Ort, da ihr Fuß ruhen konnte. Da kehrte sie zu ihm zur Arche zurück; denn es war noch Wasser auf der ganzen Erdoberfläche. Da streckte er seine Hand aus und ergriff sie und nahm sie wieder zu sich in die Arche.  
GEN 8:10	<p-n>@1. Mose  8:10</p-n>	Und er wartete noch weitere sieben Tage; dann sandte er die Taube wieder von der Arche aus.  
GEN 8:11	<p-n>@1. Mose  8:11</p-n>	Und die Taube kam zur Abendzeit wieder zu ihm und siehe, sie hatte ein frisches Ölblatt in ihrem Schnabel! Da merkte Noah, daß des Wassers auf Erden weniger geworden war.  
GEN 8:12	<p-n>@1. Mose  8:12</p-n>	Und nachdem er noch weitere sieben Tage gewartet hatte, sandte er die Taube wieder aus; da kam sie nicht mehr zu ihm zurück.  
GEN 8:13	<p-n>@1. Mose  8:13</p-n>	Im sechshundertundersten Jahre, am ersten Tage des ersten Monats, waren die Wasser auf Erden vertrocknet. Und Noah entfernte das Dach von der Arche und schaute, und siehe, der Erdboden war trocken!  
GEN 8:14	<p-n>@1. Mose  8:14</p-n>	Und im zweiten Monat, am siebenundzwanzigsten Tage des Monats, war die Erde ausgetrocknet.  
GEN 8:15	<p-n>@1. Mose  8:15</p-n>	Da redete Gott zu Noah und sprach:  
GEN 8:16	<p-n>@1. Mose  8:16</p-n>	Geh aus der Arche, du und dein Weib und deine Söhne und deiner Söhne Weiber mit dir!  
GEN 8:17	<p-n>@1. Mose  8:17</p-n>	Alle Tiere, die bei dir sind, von allem Fleisch: Vögel, Vieh und alles Kriechende, was auf Erden kriecht, sollen mit dir hinausgehen und sich regen auf Erden und sollen fruchtbar sein und sich mehren auf Erden!  
GEN 8:18	<p-n>@1. Mose  8:18</p-n>	Also ging Noah hinaus samt seinen Söhnen und seinem Weib und seiner Söhne Weibern.  
GEN 8:19	<p-n>@1. Mose  8:19</p-n>	Alle Tiere, alles, was kriecht und fliegt, alles, was sich auf Erden regt, nach seinen Gattungen, das verließ die Arche.  
GEN 8:20	<p-n>@1. Mose  8:20</p-n>	Noah aber baute dem HERRN einen Altar und nahm von allerlei reinem Vieh und von allerlei reinem Geflügel und opferte Brandopfer auf dem Altar.  
GEN 8:21	<p-n>@1. Mose  8:21</p-n>	Und der HERR roch den befriedigenden Geruch, und der HERR sprach zu seinem Herzen: Ich will fortan die Erde nicht mehr verfluchen um des Menschen willen, wiewohl das Dichten des menschlichen Herzens böse ist von seiner Jugend an; auch will ich fortan nicht mehr alles Lebendige schlagen, wie ich getan habe.  
GEN 8:22	<p-n>@1. Mose  8:22</p-n>	Solange die Erde steht, soll nicht aufhören Saat und Ernte, Frost und Hitze, Sommer und Winter, Tag und Nacht!   
GEN 9:1	<p-n>@1. Mose  9:1</p-n>	Und Gott segnete Noah und seine Söhne und sprach zu ihnen: Seid fruchtbar und mehret euch und erfüllet die Erde!  
GEN 9:2	<p-n>@1. Mose  9:2</p-n>	Furcht und Schrecken vor euch soll kommen über alle Tiere der Erde und über alle Vögel des Himmels, über alles, was auf Erden kriecht, und über alle Fische im Meer; in eure Hände seien sie gegeben!  
GEN 9:3	<p-n>@1. Mose  9:3</p-n>	Alles, was sich regt und lebt, soll euch zur Nahrung dienen; wie das grüne Kraut habe ich es euch alles gegeben.  
GEN 9:4	<p-n>@1. Mose  9:4</p-n>	Nur esset das Fleisch nicht, während seine Seele, sein Blut, noch in ihm ist!  
GEN 9:5	<p-n>@1. Mose  9:5</p-n>	Für euer Blut aber, für eure Seelen, will ich Rechenschaft fordern, von der Hand aller Tiere will ich sie fordern und von des Menschen Hand, von seines Bruders Hand will ich des Menschen Seele fordern.  
GEN 9:6	<p-n>@1. Mose  9:6</p-n>	Wer Menschenblut vergießt, des Blut soll auch durch Menschen vergossen werden; denn Gott hat den Menschen nach seinem Bild gemacht.  
GEN 9:7	<p-n>@1. Mose  9:7</p-n>	Ihr aber seid fruchtbar und mehret euch und reget euch auf Erden, daß euer viele werden darauf!  
GEN 9:8	<p-n>@1. Mose  9:8</p-n>	Und Gott sprach zu Noah und zu seinen Söhnen mit ihm:  
GEN 9:9	<p-n>@1. Mose  9:9</p-n>	Siehe, ich richte meinen Bund auf mit euch und mit euren Nachkommen,  
GEN 9:10	<p-n>@1. Mose  9:10</p-n>	auch mit allen lebendigen Wesen bei euch, mit Vögeln, Vieh und allen Tieren der Erde bei euch, mit allen, die aus der Arche gegangen sind, was für Tiere es seien auf Erden;  
GEN 9:11	<p-n>@1. Mose  9:11</p-n>	und zwar will ich meinen Bund mit euch dafür aufrichten, daß forthin nie mehr alles Fleisch von dem Wasser der Sündflut ausgerottet werden, und daß auch keine Sündflut mehr kommen soll, um die Erde zu verderben.  
GEN 9:12	<p-n>@1. Mose  9:12</p-n>	Und Gott sprach: Dies ist das Zeichen des Bundes, welchen ich stifte zwischen mir und euch und allen lebendigen Wesen, die bei euch sind, auf ewige Zeiten:  
GEN 9:13	<p-n>@1. Mose  9:13</p-n>	Meinen Bogen setze ich in die Wolken, der soll ein Zeichen des Bundes sein zwischen mir und der Erde.  
GEN 9:14	<p-n>@1. Mose  9:14</p-n>	Wenn es nun geschieht, daß ich Wolken über der Erde sammle, und der Bogen in den Wolken erscheint,  
GEN 9:15	<p-n>@1. Mose  9:15</p-n>	dann will ich an meinen Bund gedenken, welcher zwischen mir und euch und allen lebendigen Wesen von allem Fleisch besteht, daß forthin die Wasser nicht mehr zur Sündflut werden sollen, die alles Fleisch verderbe.  
GEN 9:16	<p-n>@1. Mose  9:16</p-n>	Darum soll der Bogen in den Wolken sein, daß ich ihn ansehe und gedenke an den ewigen Bund zwischen Gott und allen lebendigen Wesen von allem Fleisch, das auf Erden ist.  
GEN 9:17	<p-n>@1. Mose  9:17</p-n>	Und Gott sprach zu Noah: Das ist das Zeichen des Bundes, welchen ich aufgerichtet habe zwischen mir und allem Fleisch, das auf Erden ist!  
GEN 9:18	<p-n>@1. Mose  9:18</p-n>	Die drei Söhne Noahs aber, welche die Arche verließen, waren Sem, Ham und Japhet. Ham ist der Vater Kanaans.  
GEN 9:19	<p-n>@1. Mose  9:19</p-n>	Von diesen drei Söhnen Noahs ward die ganze Erde bevölkert.  
GEN 9:20	<p-n>@1. Mose  9:20</p-n>	Noah aber begann und legte als Landmann einen Weinberg an.  
GEN 9:21	<p-n>@1. Mose  9:21</p-n>	Da er aber von dem Weine trank, ward er betrunken und entblößte sich in seiner Hütte.  
GEN 9:22	<p-n>@1. Mose  9:22</p-n>	Da nun Ham, Kanaans Vater, die Blöße seines Vaters sah, verriet er es seinen beiden Brüdern draußen.  
GEN 9:23	<p-n>@1. Mose  9:23</p-n>	Da nahmen Sem und Japhet das Kleid und legten es auf ihre Schultern und gingen rücklings und deckten ihres Vaters Blöße zu und wandten ihre Angesichter ab, daß sie ihres Vaters Blöße nicht sahen.  
GEN 9:24	<p-n>@1. Mose  9:24</p-n>	Als nun Noah von dem Wein erwachte und erfuhr, was ihm sein jüngster Sohn getan,  
GEN 9:25	<p-n>@1. Mose  9:25</p-n>	da sprach er: Verflucht sei Kanaan! Er sei ein Knecht der Knechte seiner Brüder!  
GEN 9:26	<p-n>@1. Mose  9:26</p-n>	Und weiter sprach er: Gepriesen sei der HERR, der Gott Sems, und Kanaan sei sein Knecht!  
GEN 9:27	<p-n>@1. Mose  9:27</p-n>	Gott breite Japhet aus und lasse ihn wohnen in Sems Hütten, und Kanaan sei sein Knecht!  
GEN 9:28	<p-n>@1. Mose  9:28</p-n>	Noah aber lebte nach der Sündflut noch 350 Jahre lang,  
GEN 9:29	<p-n>@1. Mose  9:29</p-n>	also daß Noahs ganzes Alter 950 Jahre betrug, als er starb.   
GEN 10:1	<p-n>@1. Mose  10:1</p-n>	Dies ist das Geschlechtsregister der Söhne Noahs: Sem, Ham und Japhet; und nach der Sündflut wurden ihnen Kinder geboren.  
GEN 10:2	<p-n>@1. Mose  10:2</p-n>	Die Söhne Japhets waren: Gomer, Magog, Madai, Javan, Tubal, Mesech und Tiras.  
GEN 10:3	<p-n>@1. Mose  10:3</p-n>	Die Söhne Gomers aber: Aschkenas, Riphat und Togarma.  
GEN 10:4	<p-n>@1. Mose  10:4</p-n>	Und die Söhne Javans: Elischa, Tarsis, Kittim und Rodanim.  
GEN 10:5	<p-n>@1. Mose  10:5</p-n>	Sie haben sich auf die Inseln der Heiden verteilt, in ihre Länder, ein jedes nach seiner Sprache; in ihre Völkerschaften, ein jedes nach seiner Abstammung.  
GEN 10:6	<p-n>@1. Mose  10:6</p-n>	Und dies sind die Söhne Hams: Kusch, Mizraim, Put und Kanaan.  
GEN 10:7	<p-n>@1. Mose  10:7</p-n>	Und die Söhne Kuschs: Seba, Chavila, Sabta, Raema, Sabteka und Dedan.  
GEN 10:8	<p-n>@1. Mose  10:8</p-n>	Auch zeugte Kusch den Nimrod; der fing an ein Gewaltiger zu sein auf Erden.  
GEN 10:9	<p-n>@1. Mose  10:9</p-n>	Er war ein gewaltiger Jäger vor dem HERRN; daher sagt man: Ein gewaltiger Jäger vor dem HERRN wie Nimrod.  
GEN 10:10	<p-n>@1. Mose  10:10</p-n>	Und der Anfang seines Königreiches war Babel, Erek, Akkad und Kalne im Lande Sinear.  
GEN 10:11	<p-n>@1. Mose  10:11</p-n>	Von diesem Land zog er nach Assur aus und baute Ninive, Rechobot-Ir und Kelach,  
GEN 10:12	<p-n>@1. Mose  10:12</p-n>	dazu Resen, zwischen Ninive und Kelach; das ist die große Stadt.  
GEN 10:13	<p-n>@1. Mose  10:13</p-n>	Mizraim aber zeugte die Luditer, Anamiter, Lehabiter und Naphtuchiter;  
GEN 10:14	<p-n>@1. Mose  10:14</p-n>	auch die Patrusiter und die Kasluchiter, von welchen die Philister und die Kaphtoriter ausgegangen sind.  
GEN 10:15	<p-n>@1. Mose  10:15</p-n>	Kanaan aber zeugte Zidon, seinen Erstgebornen und Het;  
GEN 10:16	<p-n>@1. Mose  10:16</p-n>	auch die Jebusiter, Amoriter und Girgasiter;  
GEN 10:17	<p-n>@1. Mose  10:17</p-n>	die Heviter, Arkiter und Siniter;  
GEN 10:18	<p-n>@1. Mose  10:18</p-n>	die Arvaditer, Zemariter und die Chamatiter; und darnach breiteten sich die Geschlechter der Kanaaniter aus.  
GEN 10:19	<p-n>@1. Mose  10:19</p-n>	Und der Kanaaniter Gebiet erstreckte sich von Zidon an bis dahin, wo man von Gerar nach Gaza kommt; desgleichen bis dahin, wo man von Sodom und Gomorra, Adama und Zeboim nach Lascha kommt.  
GEN 10:20	<p-n>@1. Mose  10:20</p-n>	Das sind die Söhne Hams nach ihren Geschlechtern und Sprachen, in ihren Ländern und Völkerschaften.  
GEN 10:21	<p-n>@1. Mose  10:21</p-n>	Auch Sem wurden Kinder geboren, ihm, dem Vater aller Söhne Ebers, Japhets älterem Bruder.  
GEN 10:22	<p-n>@1. Mose  10:22</p-n>	Sems Söhne waren Elam, Assur, Arpakschad, Lud und Aram.  
GEN 10:23	<p-n>@1. Mose  10:23</p-n>	Und Arams Söhne: Uz, Chul, Geter und Masch.  
GEN 10:24	<p-n>@1. Mose  10:24</p-n>	Arpakschad aber zeugte den Schelach, und Schelach zeugte den Eber.  
GEN 10:25	<p-n>@1. Mose  10:25</p-n>	Und dem Eber wurden zwei Söhne geboren; der eine hieß Peleg, weil in seinen Tagen das Land verteilt ward; sein Bruder aber hieß Joktan.  
GEN 10:26	<p-n>@1. Mose  10:26</p-n>	Und Joktan zeugte Almodad, Schaleph, Chazarmavet, Jarach,  
GEN 10:27	<p-n>@1. Mose  10:27</p-n>	Hadoram, Usal, Dikla,  
GEN 10:28	<p-n>@1. Mose  10:28</p-n>	Obal, Abimael, Scheba,  
GEN 10:29	<p-n>@1. Mose  10:29</p-n>	Ophir, Chavila und Jobad; diese alle sind Söhne Joktans.  
GEN 10:30	<p-n>@1. Mose  10:30</p-n>	Und ihre Wohnsitze erstreckten sich von Mesa an, bis man gen Sephar kommt, zum östlichen Gebirge.  
GEN 10:31	<p-n>@1. Mose  10:31</p-n>	Das sind die Söhne Sems nach ihren Geschlechtern und Sprachen, in ihren Ländern und Völkerschaften.  
GEN 10:32	<p-n>@1. Mose  10:32</p-n>	Das sind die Geschlechter der Söhne Noahs nach ihrer Abstammung in ihren Völkern; und von ihnen haben sich nach der Sündflut die Völker auf der Erde verteilt.   
GEN 11:1	<p-n>@1. Mose  11:1</p-n>	Es hatte aber die ganze Welt einerlei Sprache und einerlei Rede.  
GEN 11:2	<p-n>@1. Mose  11:2</p-n>	Da sie nun gen Osten zogen, fanden sie eine Ebene im Lande Sinear, und sie ließen sich daselbst nieder.  
GEN 11:3	<p-n>@1. Mose  11:3</p-n>	Und sie sprachen zueinander: Wohlan, laßt uns Ziegel streichen und sie feuerfest brennen! Und sie brauchten Ziegel für Steine und Asphalt für Kalk.  
GEN 11:4	<p-n>@1. Mose  11:4</p-n>	Und sie sprachen: Wohlan, laßt uns eine Stadt und einen Turm bauen, dessen Spitze bis an den Himmel reicht, daß wir uns einen Namen machen, damit wir ja nicht über die ganze Erde zerstreuet werden!  
GEN 11:5	<p-n>@1. Mose  11:5</p-n>	Da fuhr der HERR herab, daß er die Stadt und den Turm sähe, den die Menschenkinder bauten.  
GEN 11:6	<p-n>@1. Mose  11:6</p-n>	Und der HERR sprach: Siehe, es ist nur ein einziges Volk, und sie sprechen alle nur eine Sprache, und dies ist der Anfang ihres Unternehmens! Nun wird es ihnen nicht unmöglich sein, alles auszuführen, was sie sich vorgenommen haben.  
GEN 11:7	<p-n>@1. Mose  11:7</p-n>	Wohlan, laßt uns hinabfahren und daselbst ihre Sprache verwirren, daß keiner des andern Sprache verstehe!  
GEN 11:8	<p-n>@1. Mose  11:8</p-n>	Also zerstreute sie der HERR von dannen über die ganze Erde, daß sie aufhörten die Stadt zu bauen.  
GEN 11:9	<p-n>@1. Mose  11:9</p-n>	Daher gab man ihr den Namen Babel, weil der HERR daselbst die Sprache der ganzen Welt verwirrte und sie von dannen über die ganze Erde zerstreute.  
GEN 11:10	<p-n>@1. Mose  11:10</p-n>	Dies ist das Geschlechtsregister Sems: Als Sem hundert Jahre alt war, zeugte er den Arpakschad, zwei Jahre nach der Flut;  
GEN 11:11	<p-n>@1. Mose  11:11</p-n>	und nachdem Sem den Arpakschad gezeugt, lebte er noch fünfhundert Jahre und zeugte Söhne und Töchter.  
GEN 11:12	<p-n>@1. Mose  11:12</p-n>	Arpakschad war fünfunddreißig Jahre alt, als er den Schelach zeugte;  
GEN 11:13	<p-n>@1. Mose  11:13</p-n>	und nachdem Arpakschad den Schelach gezeugt hatte, lebte er noch 403 Jahre und zeugte Söhne und Töchter.  
GEN 11:14	<p-n>@1. Mose  11:14</p-n>	Schelach war dreißig Jahre alt, da er den Eber zeugte;  
GEN 11:15	<p-n>@1. Mose  11:15</p-n>	und nachdem Schelach den Eber gezeugt hatte, lebte er noch 403 Jahre und zeugte Söhne und Töchter.  
GEN 11:16	<p-n>@1. Mose  11:16</p-n>	Eber war vierunddreißig Jahre alt, da er den Peleg zeugte;  
GEN 11:17	<p-n>@1. Mose  11:17</p-n>	und nachdem Eber den Peleg gezeugt, lebte er noch 430 Jahre und zeugte Söhne und Töchter.  
GEN 11:18	<p-n>@1. Mose  11:18</p-n>	Peleg war dreißig Jahre alt, da er den Regu zeugte;  
GEN 11:19	<p-n>@1. Mose  11:19</p-n>	und nachdem Peleg den Regu gezeugt, lebte er noch 207 Jahre und zeugte Söhne und Töchter.  
GEN 11:20	<p-n>@1. Mose  11:20</p-n>	Regu war zweiunddreißig Jahre alt, da er den Serug zeugte;  
GEN 11:21	<p-n>@1. Mose  11:21</p-n>	und nachdem Regu den Serug gezeugt, lebte er noch 207 Jahre und zeugte Söhne und Töchter.  
GEN 11:22	<p-n>@1. Mose  11:22</p-n>	Serug war dreißig Jahre alt, da er den Nahor zeugte;  
GEN 11:23	<p-n>@1. Mose  11:23</p-n>	und nachdem Serug den Nahor gezeugt, lebte er noch 200 Jahre und zeugte Söhne und Töchter.  
GEN 11:24	<p-n>@1. Mose  11:24</p-n>	Nahor war neunundzwanzig Jahre alt, da er den Terach zeugte;  
GEN 11:25	<p-n>@1. Mose  11:25</p-n>	und nachdem Nahor den Terach gezeugt, lebte er noch 119 Jahre und zeugte Söhne und Töchter.  
GEN 11:26	<p-n>@1. Mose  11:26</p-n>	Terach war siebzig Jahre alt, da er den Abram, Nahor und Haran zeugte.  
GEN 11:27	<p-n>@1. Mose  11:27</p-n>	Und dies ist Terachs Geschlechtsregister: Terach zeugte den Abram, Nahor und Haran; Haran aber zeugte den Lot.  
GEN 11:28	<p-n>@1. Mose  11:28</p-n>	Und Haran starb vor seinem Vater Terach im Lande seiner Geburt zu Ur in Chaldäa.  
GEN 11:29	<p-n>@1. Mose  11:29</p-n>	Abram aber und Nahor nahmen Weiber; Abrams Weib hieß Sarai, Nahors Weib hieß Milka, eine Tochter Harans, des Vaters der Milka und der Jisla.  
