 *PART 2:*
NOUNS	IN CHITONGA CIBEELA 2:*
kancele	a type of bird, the swimpi or smaller partridge, e.g. Kancele tanywi meenda manji. = The smaller partridge does not drink much water.
kancinda	a small strip of cloth, e.g. Swebo toonse Leza utujisilizyi akancinda. = We are all supported by God with a small strip of cloth.
kancinko-cinko	craziness, e.g. Muntu oyu tanoneenzyi, ulaa kancinko-ncinko. = This person is not pleasant, she is insane.
kancololo	a long narrow stretch, e.g. Kabukomena bulimo, mutalimi kancololo. = Extend the piece of land, do not plough a narrow section.
kancoloncolo	Also kancololo.
kandolo	a grey kind of sweet-potatoe, e.g. Ingulube yali kudadaula kandolo. = The pig was rooting up the sweet-potatoe.
kandondoyo	abnormally small in structure, e.g. Musune wabelesegwa cakwiindilila inga kaba kandondoyo. = The ox which has been used most frequently has become reduced in size.
kandondwe	a type of bird, a fisheater, e.g. Bana baniini bakali kwiimba Iwiimbo kumulonga kabaiya muyuni kandondwe. = The children were singing at the river imitating the fish-eating bird.
kandongwe	a kind of creeper, e.g. Kandongwe ulasilisya malwazi amwi. = The kandongwe creeper heals some diseases.
kanduundu	a cigarette, e.g. Bacembele bafweba kanduundu. = The old woman is smoking a cigarette. Also kasanga.
kandunduyu	an abnormally smallsized thing Also kandondoyo.
kandwane-ndwane	aggressiveness, e.g. Baila mbambabo, bantu bakandwane-ndwane. = The Baila, that is how they are, an aggressive people.
kanembwa	a pool of water, e.g. Basimbi bazela nswi mukanembwa. = The girls are fishing in a pool of water.
kanembe	a green relish, the diced buds are boiled for approximately 30 min. e.g. Twali kulya cisyu cakanembe. = We were eating a green vegetable relish.
kanenda	ligament under the tongue, e.g. Mwana akagonkwe kanenda kali amulaka. = The ligament under the child's tongue should be cut. Lili kuli deenzya tutende nenda? = Where is the blade for cutting the ligament? Ulaa kanenda = He is a stammerer.
kangengema	small pieces of iron, e.g. Mukanduulile kangengema kancinga, basa. = Buy me the rim of a bicycle, my friend.
kangundu	a fez, e.g. Babbi nibakabona musilikani usamide kangundu, bakatija boonse. = When the robbers saw the policeman wearing a fez, they all fled. Also ingundu.
kangungu	drowsiness, e.g. Musankwa waba tungungu mpoonaawo mpakkede. = The boy became drowsy right there where he was sitting.
kangwala	anything long or high, e.g Kakali kangwala kamulombe. = He was a tall youth.
	a bar for digging holes, e.g. Koleta kangwala tusisye zilindi zyakasanza. = Bring a bar so that we can dig holes for the platform.
kani	a blade of grass, pl. mani, e.g. Nkaaka kani kamunenga mwana. = Here is the blade of grass which cut the child.
kaniabbakala	sugar, e.g. Cibwantu ncibakasaanguna kunywa mbucakali cakaniabbakala, bakalikkutide kale. = As the first sweet-beer had sugar in it, they were already satisfied.
kanikenike	a youth, e.g. Koleka kutukila kanikenike kutegwa kakulemeke. = Stop scolding the child so that it will respect you.
kanjila-mantongwe	a small insect which make honey in trees, pl. tunjilamantongwe, e.g. Tunjila-mantongwe tulatowa. = Small insects blind one.
kanjuyu	type of tree, e.g. Tuyuni tuyaka zinteente muli kanjuyu. = Little birds have built their nests in the kanjuyu tree.
kankobela	a traditional hand-piano with iron prongs, wooden base and gourd resonator with hole covered by cocoon (nenda) of the paper spider (kijubi) which causes a buzzing sound, e.g. Nsyecizyi kusobanya kankobela. = I don't know how to play a hand-piano. Also silimba, likembe, karŋombyo, kanamala.
kankolola	depression or hollow place, pl. tunkolola, e.g. Batalika kuyandaula musyokwe mutunkolola amumilonga. = They began to search in the bush in hollow places and in the rivers. Moonse mutulundu a mutunkolola wakali kuccovwa kapati. = He was riding hard all through the hills and valleys. Also kakololindi
kankololomba	a trench, e.g. Meenda alakunka mukankololomba. = The water is flowing in a trench.
kankolomwena	rinderpest, (a cattle disease with fever and dysentery) e.g. Inombe ziciswa kankolomwena. = The cattle are sick with rinderpest.
kankolyo-nkolyo	bone at back of head (occipital), e.g. Musimbi wakanokola twe acikko akulilamba kukankolyo-nkolyo *kakwe.* = A girl took a little ash and smeared herself on the back of her head.
kankomona/e	type of tree (*hyphaene ventricosa*), pl. *tunkomona*, doum palm, vegetable ivory, fan-palm. (The wood is good and takes a beautiful polish and is borer-proof. The palm has many uses such as for making rafters. Fruits, seedlings and leading shoots are edible, the sap can be drunk as palm wine or distilled as a spirit. Leaves used for mats, baskets. Fibres can be extracted to make string and grain bags.) e.g. *Tunkomone tula-janika kapati ku Maala.* = Palm-trees are found especially at Maala. Also *kalala, kankunka mapokwe, mulala.*
kankomone	a small kind of palm or coconut tree (smaller than the borassus), pl. *mankomone*, e.g. *Kankomone kazyala mankomone.* = A coconut tree produces coconuts. Also *kakunka*
kankomwa	a small piece of tobacco cake, e.g. *Amundigwasye kankomwa mbiike.* = Give me a small piece of tobacco so that I make a cigarette.
kankonko	a small calabash adorned with beads used in divining, e.g. *Munanga wakaboola kumwi mumaanza katumbete kankuli kasyoonto kakasamikilwe bulungu bwakali kulengelela mokali munsingo walo nkaakali kwiita kuti 'kankonko'.* = The witchdoctor came while clasping a small calabash which was decorated with beads which were hanging from its neck, which he called 'kankonko'.
kankonta	necklace of beads Also *munkonde, kasambo.*
kankosyi	empty cob of maize, e.g. *Nafwa usoogwa buyo aakankosyi nkaambo inga tali muntu, ngusikalalu.* = When he died he was thrown away like an empty maize cob, because he was no longer a human being but was insane.
kankota	a necklace of beads, pl. *tunkota*, e.g. *Bamakaintu bakali kusama*
tunkota	munsingo.* = The women were wearing bead-necklaces.
kankontyo	chicken excrement, pl. *mankotyo*, e.g. *Inkuku yalosya kankontyo munsima yabana.* = The chicken has defecated in the children's food. *Kamu-gwisya mankotyo ankuku bakkale beenzu.* = Remove the droppings of the chicken so that the visitor can sit down.
kankotyo	excrement, as of fowl Also *kankontyo.*
	a very small kind of tampan infesting poultry Also *kampotyo*
kankuli	a small water-calabash with stem, e.g. *Meenda amukankuli alatontola.* = The water in the small calabash is cold.
kankulu	a shaven head, e.g. *Ciindi campeyo ncibi kubaa kankulu inga yaku-jaya mpeyo.* = During the cold season it is not good to shave the head because you will feel the cold.
kankumbwila	a type of tree (*albizia amara*) Dark brown, heavy and strong wood used for furniture, turnery and general building. Fruit used for malaria, coughs and as an emetic. e.g. *Kuti waciswa tuntumaanzi, konywa bana ba-kankumbwila.* = If you are suffering from malaria, drink the medicine of the fruit of the *kankumbwila* tree.
kankungwa	a grass headpad or crown, e.g. *Mukaintu ubikkide kankungwa kunsi anongo amutwe.* = The woman had placed a headpad of grass between the water-pot and her head. Also *nkata, kasambo.*
kankunka	type of tree, pl. *tunkunka*, e.g. *Bamadaala bacela bana batunkunka lyanzala.* = The old men gather the fruit of the *tunkunka* trees during a time of famine. Also *kankomona.*
kankuntu	a small pot for holding solids, pl. *tunkuntu*, e.g. *Basikale bakali kuyobola mbuto mutunkuntu.* = The ancestors were preserving seeds in a small pot.
kankusa	a frown, furrow one's brows in an expression indicating disapproval, displeasure or concentration, e.g. Wakaangide buyo kankusa. He just tightened his forehead in a frown.
kankwambu	a scratch, e.g. Mutinta ulaa kankwambu akamukwamba kaluwe. = Mutinta bears the scratch where the leopard clawed her.
kankwamu	a scratch Also kankwambu
	a mask, e.g. Bana balayoowa akutija kuti babona kankwamu. = Children are frightened and run away if they see a mask.
	a slice, pl. tunkwamu kankwenene a faint stripe, e.g. Kamweenga kankwenene mpotutiisimpile. = Make a mark where we will end.
Kankwinta-nkwinta	an ear-ornament, pl. tunkwintankwinta, e.g. Bamakaintu banji balayanda kusama tunkwintankwinta mumatwi. Many women like to wear ear-rings.
kanomba	a hatchet carried when walking out, e.g. Munene uyenzya kanomba mmukali. The old man who is carrying a hatchet is aggressive.
kansanga	a blade of grass, e.g. Ngooyu nkusyomeka kansanga kabwizu mumutwe kati nkacoolwe. = There he is putting a blade of grass in his head saying it is for luck. Also kasanga
kanseenga	a type of fish-trap, pl. tunseenga, e.g. Mumilonga balateya tunseenga mumpati-pati zyamabwe, inswi muziinda. In the rivers they set fish-traps in the gaps among the stones where the fish pass. Balabikka tunseenga cifwumofwumo. Inswi noziboola kutala amulonga zilanjila mutunseenga. Zilanjila kabotu, pele zilakakilwa kuzwa. Kumazuba balanuna tunseenga, balajana nswi zilatapata mukati, elyo balazisukumwida anze. = They set the traps in the morning. When fish come they enter the fish traps. They enter easily but fail to get out. In the evening they check the fish traps and find the fish struggling inside, then they unload them onto the ground.
kansene	raffia-palm, e.g. Mutaanga oyu wakalukwa amatuvwu akansene. = This basket was woven with the raffiapalms.
kansipu-nsipu	a catapult, e.g. Basankwa bauma tuyuni kwiinda mukubelesya kansipu-nsipu. = The boys hit the birds by using a catapult. Also malekani.
kansondo	a type of mental sickness, e.g. Muntu ulaa kansondo watijaana kale. = The one who has a mental disease is already running about. kanswende venereal disease, e.g. Banabukwetene banjililwa kanswende tabeelede kusisa pe nkaambo kuti basisa inga tabasilikwi kabotu. = Married people who have been infected by venereal disease should not hide it, because of they hide it, they may not be healed easily.
kansyuunsyu	bilharzia, urination with blood, e.g. Bana banji baciswa kansyuunsyu. = Many children suffer from bilharzia. Kusamba mucizyiba cameenda ateendi, cipa kansyuunsyu. = To wash in a pool of water which does not flow, causes bilharzia.
kansyuululu	bilharzia, cf. kansyuunsyu kanta a bow, pl. tunta, e.g. Kaindi bantu bakali kulwanya tunta. = Long ago people were fighting with small bows. Also kata.
kantanda	private parts, pl. tuntanda, e.g. Bana tabasisi tuntanda twabo. = Children do not hide their private parts. Also cintanda.
kantangali	a small open hut in field, e.g. Munene ukkede mukantangali uyamina buyuni. = The old man seated in the open hut in the field is scaring away the birds.
kantanta	a sable-bull, e.g. Muciba omu kuli mucende *wakantanta*. = There is a sable-bull in the kraal.
kantayile	a kind of game, e.g. Bana basobana *kantayile*. = The children are playing a game.
kantemba	a small store, e.g. Bana nda-batuma kukuula nsipa *kukantemba*. = I sent the children to buy soap at a small store.
kantembo	a neck fetter, a kind of trap for small game, e.g. *Kantembo* kako kaja-ya *sulwe*. = Your trap has caught a rabbit.
kantembwani	soft branches, e.g. Loo-zi *lwakantembwani ndubotu kutafwuna*. = Fibre from tender branches is good to chew.
kantengezya	the little finger of the right hand, e.g. Ooyu musimbi wakakon-koozya citendele *akantengezya kakwe*. = This girl knocked on the door with her little finger. Mutinta usamide ntasa aka-*ntengezya*. = Mutinta is puting on a ring on the small finger of the right hand.
kantengwa-kaniini	the name of a tree which is said to make people forget, e.g. Musimbi oyu uluba mbuli kuti waka-lya *kantengwa-kaniini*. = This girl forgets as if she had eaten from the *kantengwa-kaniini* tree. Also *kazungula-kaniini*.
kantimbwa	a type of traditional string-ed musical instrument used by a girl in the seclusion of initiation, pl. *tuntimbwa*, e.g. Mooye usobana *kantimbwa muna-nda*. = The female initiate is playing a traditional stringed musical instrument in the house.
kantondo	a small kind of wild orange, pl. *tuntondo*, e.g. Basimaasikili balya *tuntondo mumavwuli*. = Swifts (a type of bird) eat matondo fruit from mavwuli trees.
kantoolilo	a flute, e.g. *Kantoolilo kasi-bwa amulomo*. = A flute is played with the mouth.
kantowe	a small insect making honey in trees, e.g. Kanditowa *kantowe nindali kuccovwa namutendele*. = A small insect got in my eye when I was riding a bicycle.
kantuunya	luggage, e.g. Mainza wakacitaila *akantuunya* kakwe alwezo kutozya kucitisyini ca Kalomo. = Mainza moved slowly with his luggage on his shoulder going to Kalomo railway station. Wakabbalula *kantuunya* kakwe katuubo akupa mweenzinyina kati bafwambaane kweendesya akalyookezye. = He took down his luggage from his back and gave it to his friend saying that they should hurry up so that he could rest.
kankajolezya	a type of fruit which turns black when ripe, e.g. Kumaulu wa-kasamide mabbusu asiya akoya *tunka-jolezya*. On her feet she wore shoes whose colour resembled ripe black fruit.
kanunkila	a plant (Croton sp.), dried shredded leaves used as a tobacco substitute. Used in ritual as an incense from roots inhaled by dying person. e.g. Mubili wamufwu baunanika musinza wa-*kanunkila kutegwa utaboli*. = They anoint the body of a dead person with oil from the *kanunkila* plant so that it does not decompose.
kanunkilizi	scent, smell, e.g. Luwo lutontola lwakalijisi *akanunkilizi kabulo-ngo*. = The cool breeze had a smell of the clay.
kanunko	faint smell, e.g. Munyama ooyu wakalikulya kufwumbwa cintu cinu-nka *kanunko kabuntu*. = This animal was eating whatever had the whiff of human-kind.
kanunubwi	a green relish (*Tetratelia tenuifolia*), diced stem, leaves and flowers boiled in three changes of water Dec.-Feb. e.g. Baama bajika cisyu *cakanunu-bwi*. = Mother has cooked a green vegetable relish. Also *kayunubwi* ---|---
kanwe	a little finger, a toe, e.g. *Mwana walinontola akanwe.* = The child hit it's toe against something.
kanyampwido	the crown of the head, e.g. *Mukaintu oyu uciswa kanyampwido, ncatayumuni nongo.* = The crown of this woman's head is sore. That is why she does not carry a pot on her head.
kanyandi	a fishing-net, pl. *tunyandi*, e.g. *Kanyandi kamudaala kalajaya atutaka.* = The fishing-net of the old man also traps small fish. Also *insabwi*
kanyanga	a child's bracelet of palm-leaves, e.g. *Mwana bamusamika kanyanga akuboko.* = They have dressed the child with a palm-leafed bracelet on the arm.
kanyati	the large black mason wasp, pl. *tunyati*, e.g. *Tunyati ntwaanko ntukali kapati.* = The black mason wasps are fierce.
kanyemvwu-nyemvwu	impudence, e.g. *Musimbi utalomene ulaa kanyemvwu-nyemvwu.* = A girl who is not respectful is impudent.
